ValidStart,hasDry_pre,bound
6/2/20,30.70566597,prediction
6/9/20,19.79645759,prediction
6/16/20,22.88958017,prediction
6/23/20,29.74630973,prediction
6/30/20,29.36456258,prediction
7/7/20,29.91236014,prediction
7/14/20,35.92028449,prediction
7/21/20,39.13726745,prediction
7/28/20,45.07331199,prediction
8/4/20,45.7909986,prediction
8/11/20,35.43734328,prediction
8/18/20,33.61525733,prediction
8/25/20,32.65181298,prediction
9/1/20,38.35930572,prediction
6/2/20,14.89283844,lower
6/9/20,16.07515611,lower
6/16/20,18.93030442,lower
6/23/20,26.16709176,lower
6/30/20,25.89255038,lower
7/7/20,26.33457804,lower
7/14/20,32.09869692,lower
7/21/20,35.34296463,lower
7/28/20,41.18340494,lower
8/4/20,42.02079154,lower
8/11/20,31.59627787,lower
8/18/20,29.96931861,lower
8/25/20,28.47631517,lower
9/1/20,34.57027852,lower
6/2/20,22.40194887,upper
6/9/20,23.46369035,upper
6/16/20,26.54058024,upper
6/23/20,33.61868556,upper
6/30/20,33.31060064,upper
7/7/20,33.91000059,upper
7/14/20,39.54418814,upper
7/21/20,42.67962877,upper
7/28/20,48.82772806,upper
8/4/20,49.70214598,upper
8/11/20,39.11723176,upper
8/18/20,37.31812051,upper
8/25/20,36.34102866,upper
9/1/20,41.66783838,upper
1/2/18,53.72971109,actual
1/9/18,56.13355701,actual
1/16/18,58.31149425,actual
1/23/18,59.38059335,actual
1/30/18,60.45546132,actual
2/6/18,59.32618515,actual
2/13/18,48.59025474,actual
2/20/18,45.94572849,actual
2/27/18,40.06476235,actual
3/6/18,37.12939112,actual
3/13/18,36.76624107,actual
3/20/18,34.58670705,actual
3/27/18,34.34732526,actual
4/3/18,32.73237962,actual
4/10/18,33.51958372,actual
4/17/18,28.6742187,actual
4/24/18,27.81010252,actual
5/1/18,28.22607331,actual
5/8/18,30.12317801,actual
5/15/18,30.85783473,actual
5/22/18,26.60533085,actual
5/29/18,25.05354769,actual
6/5/18,29.80989748,actual
6/12/18,31.01380242,actual
6/19/18,31.56662007,actual
6/26/18,33.47380864,actual
7/3/18,33.30986952,actual
7/10/18,33.31474371,actual
7/17/18,35.15262815,actual
7/24/18,38.48077975,actual
7/31/18,38.53365642,actual
8/7/18,37.85474682,actual
8/14/18,41.02340168,actual
8/21/18,39.36030755,actual
8/28/18,37.67856788,actual
9/4/18,34.96552656,actual
9/11/18,29.9277726,actual
9/18/18,29.62863001,actual
9/25/18,27.21385523,actual
10/2/18,26.37958372,actual
10/9/18,23.8033644,actual
10/16/18,17.78851817,actual
10/23/18,17.76852749,actual
10/30/18,15.9047872,actual
11/6/18,14.48617583,actual
11/13/18,14.21461323,actual
11/20/18,13.53531221,actual
11/27/18,14.25922025,actual
12/4/18,12.85160609,actual
12/11/18,13.02276794,actual
12/18/18,14.03616651,actual
12/25/18,14.82446412,actual
1/1/19,12.68749301,actual
1/8/19,12.75040385,actual
1/15/19,13.04245728,actual
1/22/19,12.92291705,actual
1/29/19,12.28868593,actual
2/5/19,12.5491457,actual
2/12/19,14.1594781,actual
2/19/19,14.02787822,actual
2/26/19,13.87816403,actual
3/5/19,13.75892513,actual
3/12/19,13.1056881,actual
3/19/19,11.80721342,actual
3/26/19,14.97874185,actual
4/2/19,17.74562597,actual
4/9/19,16.02657036,actual
4/16/19,13.24814539,actual
4/23/19,10.92086673,actual
4/30/19,10.05391737,actual
5/7/19,9.103268096,actual
5/14/19,8.483687481,actual
5/21/19,9.668869214,actual
5/28/19,15.32316869,actual
6/4/19,16.62313451,actual
6/11/19,11.59022367,actual
6/18/19,11.12927928,actual
6/25/19,9.923184219,actual
7/2/19,9.69,actual
7/9/19,10.66409133,actual
7/16/19,9.388148493,actual
7/23/19,10.54676918,actual
7/30/19,13.09164337,actual
8/6/19,18.33510407,actual
8/13/19,24.43165269,actual
8/20/19,27.11570053,actual
8/27/19,26.31871389,actual
9/3/19,25.50039143,actual
9/10/19,28.71661696,actual
9/17/19,38.29043492,actual
9/24/19,49.04058714,actual
10/1/19,49.88473439,actual
10/8/19,47.06656415,actual
10/15/19,48.23150047,actual
10/22/19,42.06684685,actual
10/29/19,36.17136999,actual
11/5/19,24.34493321,actual
11/12/19,22.14176452,actual
11/19/19,21.24315937,actual
11/26/19,22.22018639,actual
12/3/19,20.8620845,actual
12/10/19,20.22032619,actual
12/17/19,19.02689655,actual
12/24/19,16.81291395,actual
12/31/19,15.87077975,actual
1/7/20,15.28159988,actual
1/14/20,14.01335508,actual
1/21/20,15.29625971,actual
1/28/20,16.66205343,actual
2/4/20,16.03155638,actual
2/11/20,13.12586518,actual
2/18/20,12.05840323,actual
2/25/20,11.01640882,actual
3/3/20,11.15851817,actual
3/10/20,11.37096614,actual
3/17/20,12.89038832,actual
3/24/20,12.91367195,actual
3/31/20,13.2259739,actual
4/7/20,14.08916434,actual
4/14/20,13.81847158,actual
4/21/20,14.55234856,actual
4/28/20,15.8009009,actual
5/5/20,16.48197266,actual
5/12/20,20.09250699,actual
5/19/20,21.13404163,actual
5/26/20,19.55079838,actual
6/2/20,19.70963964,actual
6/9/20,22.05982293,actual
6/16/20,28.45557627,actual
6/23/20,30.10860826,actual
6/30/20,31.05881019,actual
7/7/20,35.65262193,actual
7/14/20,38.46927928,actual
7/21/20,43.53169618,actual
7/28/20,45.77666356,actual
8/4/20,38.8409009,actual
8/11/20,36.4402361,actual
8/18/20,34.89243865,actual
8/25/20,38.26312519,actual
9/1/20,10.13620068,actual
