ValidStart,value,type
2020-06-02,4.105674089864894,pre
2020-06-09,4.265444341101503,pre
2020-06-16,3.312767083322404,pre
2020-06-23,2.5195935424477374,pre
2020-06-30,5.294426613354516,pre
2020-07-07,9.329205320756177,pre
2020-07-14,6.805071193743691,pre
2020-07-21,9.69397053268027,pre
2020-07-28,21.06288524573003,pre
2020-08-04,21.463768973582134,pre
2020-08-11,-0.19610192195436155,pre
2020-08-18,12.315601990448524,pre
2020-08-25,1.112108521258838,pre
2020-09-01,6.72586750515953,pre
2020-09-08,3.6380277679641604,pre
2020-09-15,10.830879942982287,pre
2020-09-22,14.571475641736676,pre
2020-09-29,14.064367721427395,pre
2020-06-02,-6.532181401639601,pre_lowerbound
2020-06-09,-6.179569796989282,pre_lowerbound
2020-06-16,-7.436137502710407,pre_lowerbound
2020-06-23,-7.598906524405364,pre_lowerbound
2020-06-30,-5.505397058390725,pre_lowerbound
2020-07-07,-0.9772353398648431,pre_lowerbound
2020-07-14,-3.965740306534908,pre_lowerbound
2020-07-21,-1.2026188426035387,pre_lowerbound
2020-07-28,9.9865669678054,pre_lowerbound
2020-08-04,10.33361753210167,pre_lowerbound
2020-08-11,-11.4126014340365,pre_lowerbound
2020-08-18,1.35263042954973,pre_lowerbound
2020-08-25,-9.551868626929773,pre_lowerbound
2020-09-01,-3.758948758011407,pre_lowerbound
2020-09-08,-7.081187475048996,pre_lowerbound
2020-09-15,-0.1917290533197036,pre_lowerbound
2020-09-22,4.553155639058561,pre_lowerbound
2020-09-29,3.5225717981088294,pre_lowerbound
2020-06-02,15.3716179574943,pre_upperbound
2020-06-09,14.980813998108568,pre_upperbound
2020-06-16,13.619192224083315,pre_upperbound
2020-06-23,13.325492652492393,pre_upperbound
2020-06-30,16.192957883913277,pre_upperbound
2020-07-07,19.343844602416855,pre_upperbound
2020-07-14,18.19904881971757,pre_upperbound
2020-07-21,19.85913334130189,pre_upperbound
2020-07-28,31.412919995825586,pre_upperbound
2020-08-04,32.46625257085474,pre_upperbound
2020-08-11,11.053217007978242,pre_upperbound
2020-08-18,24.16194196501025,pre_upperbound
