ValidStart,value,type
2020-06-02,19.90252726898347,pre
2020-06-09,19.316469954851534,pre
2020-06-16,35.98466941317541,pre
2020-06-23,32.74010379146318,pre
2020-06-30,33.90383987471882,pre
2020-07-07,33.93801686464591,pre
2020-07-14,45.17619477095316,pre
2020-07-21,43.52753561969158,pre
2020-07-28,93.95528580988596,pre
2020-08-04,82.92340601401682,pre
2020-08-11,95.86852416748533,pre
2020-08-18,95.01639147917462,pre
2020-08-25,102.74389878276266,pre
2020-09-01,99.10930379302829,pre
2020-09-08,98.09522583986424,pre
2020-09-15,98.20525404258616,pre
2020-09-22,98.56220037101319,pre
2020-09-29,98.14833474145725,pre
2020-06-02,13.025164572497314,pre_lowerbound
2020-06-09,11.710943548990462,pre_lowerbound
2020-06-16,29.056053843785488,pre_lowerbound
2020-06-23,25.154393212776185,pre_lowerbound
2020-06-30,26.88692845438646,pre_lowerbound
2020-07-07,26.67640710082944,pre_lowerbound
2020-07-14,38.1759897035699,pre_lowerbound
2020-07-21,36.883149848875085,pre_lowerbound
2020-07-28,87.03375600359345,pre_lowerbound
2020-08-04,75.6814787056538,pre_lowerbound
2020-08-11,88.29618550955435,pre_lowerbound
2020-08-18,87.6630657715644,pre_lowerbound
2020-08-25,95.63024600608509,pre_lowerbound
2020-09-01,91.64547659237047,pre_lowerbound
2020-09-08,90.74768564001037,pre_lowerbound
2020-09-15,90.86757660198417,pre_lowerbound
2020-09-22,91.34529378065098,pre_lowerbound
2020-09-29,90.97834789501896,pre_lowerbound
2020-06-02,27.472566145584242,pre_upperbound
2020-06-09,26.09639867453282,pre_upperbound
2020-06-16,42.858101330446914,pre_upperbound
2020-06-23,40.257418993897595,pre_upperbound
2020-06-30,41.29560289700117,pre_upperbound
2020-07-07,41.004114546850836,pre_upperbound
2020-07-14,52.68054717303563,pre_upperbound
2020-07-21,50.417842666669195,pre_upperbound
2020-07-28,101.63502602617784,pre_upperbound
2020-08-04,91.07832645178327,pre_upperbound
2020-08-11,103.46697603303146,pre_upperbound
2020-08-18,102.18043072183222,pre_upperbound
2020-08-25,109.74734200330467,pre_upperbound
2020-09-01,106.99217350913874,pre_upperbound
2020-09-08,105.57808264236961,pre_upperbound
2020-09-15,105.23101973610005,pre_upperbound
2020-09-22,106.0923602255868,pre_upperbound
2020-09-29,105.57208992142155,pre_upperbound
2015-09-15,92.96,original
2015-09-22,92.96,original
2015-09-29,89.52,original
2015-10-06,89.52,original
2015-10-13,89.52,original
2015-10-20,87.19,original
2015-10-27,84.27,original
2015-11-03,84.27,original
2015-11-10,84.27,original
2015-11-17,84.27,original
2015-11-24,84.27,original
2015-12-01,84.27,original
2015-12-08,84.27,original
2015-12-15,84.27,original
2015-12-22,85.75,original
2015-12-29,85.75,original
2016-01-05,85.7,original
2016-01-12,62.88,original
2016-01-19,57.06,original
2016-01-26,57.06,original
2016-02-02,57.06,original
2016-02-09,57.06,original
2016-02-16,57.06,original
2016-02-23,68.89,original
2016-03-01,80.64,original
2016-03-08,95.12,original
2016-03-15,95.14,original
2016-03-22,97.07,original
2016-03-29,97.5,original
2016-04-05,97.5,original
2016-04-12,99.3,original
2016-04-19,99.28,original
2016-04-26,100.0,original
2016-05-03,100.0,original
2016-05-10,100.0,original
2016-05-17,100.0,original
2016-05-24,100.0,original
2016-05-31,99.59,original
2016-06-07,99.59,original
2016-06-14,99.59,original
2016-06-21,99.59,original
2016-06-28,99.59,original
2016-07-05,99.59,original
2016-07-12,99.59,original
2016-07-19,99.61,original
2016-07-26,99.93,original
2016-08-02,99.93,original
2016-08-09,99.93,original
2016-08-16,99.93,original
2016-08-23,99.93,original
2016-08-30,99.93,original
2016-09-06,99.93,original
2016-09-13,99.95,original
2016-09-20,99.95,original
2016-09-27,93.77,original
2016-10-04,77.39,original
2016-10-11,77.39,original
2016-10-18,77.39,original
2016-10-25,77.39,original
2016-11-01,77.39,original
2016-11-08,77.39,original
2016-11-15,77.39,original
2016-11-22,77.39,original
2016-11-29,77.39,original
2016-12-06,77.39,original
2016-12-13,77.78,original
2016-12-20,77.78,original
2016-12-27,68.12,original
2017-01-03,61.32,original
2017-01-10,61.32,original
2017-01-17,61.32,original
2017-01-24,58.97,original
2017-01-31,55.01,original
2017-02-07,55.01,original
2017-02-14,55.01,original
2017-02-21,55.01,original
2017-02-28,52.64,original
2017-03-07,28.129999999999995,original
2017-03-14,28.129999999999995,original
2017-03-21,28.129999999999995,original
2017-03-28,28.129999999999995,original
2017-04-04,28.129999999999995,original
2017-04-11,28.129999999999995,original
2017-04-18,41.03,original
2017-04-25,41.03,original
2017-05-02,41.08,original
2017-05-09,47.9,original
2017-05-16,47.85,original
2017-05-23,47.86,original
2017-05-30,47.86,original
2017-06-06,47.86,original
2017-06-13,47.86,original
2017-06-20,51.07,original
2017-06-27,51.07,original
2017-07-04,64.45,original
2017-07-11,64.45,original
2017-07-18,78.12,original
2017-07-25,65.8,original
2017-08-01,39.08,original
2017-08-08,32.89,original
2017-08-15,32.879999999999995,original
2017-08-22,24.840000000000003,original
2017-08-29,24.840000000000003,original
2017-09-05,24.840000000000003,original
2017-09-12,24.840000000000003,original
2017-09-19,24.840000000000003,original
2017-09-26,54.62,original
