ValidStart,value,type
2020-06-02,56.05094834098129,pre
2020-06-09,56.45096460715852,pre
2020-06-16,57.63815788759925,pre
2020-06-23,58.44296042209572,pre
2020-06-30,58.036341814392756,pre
2020-07-07,56.8943634382355,pre
2020-07-14,56.212068583051796,pre
2020-07-21,57.942806852312,pre
2020-07-28,58.28414666694093,pre
2020-08-04,58.177853589833404,pre
2020-08-11,64.69598481483143,pre
2020-08-18,63.96295430781122,pre
2020-08-25,78.56794843539045,pre
2020-09-01,77.51129878049547,pre
2020-09-08,77.22256274321052,pre
2020-09-15,76.24531907074547,pre
2020-09-22,81.13852438901642,pre
2020-09-29,81.22545958226408,pre
2020-06-02,46.44027369714533,pre_lowerbound
2020-06-09,46.560467085846376,pre_lowerbound
2020-06-16,47.54906747265867,pre_lowerbound
2020-06-23,48.477863745337075,pre_lowerbound
2020-06-30,48.97653799218545,pre_lowerbound
2020-07-07,47.448412657723416,pre_lowerbound
2020-07-14,47.28887670711782,pre_lowerbound
2020-07-21,47.55330077994365,pre_lowerbound
2020-07-28,48.5140661259521,pre_lowerbound
2020-08-04,48.6147447244123,pre_lowerbound
2020-08-11,55.26689801310278,pre_lowerbound
2020-08-18,54.21486163181609,pre_lowerbound
2020-08-25,68.52021927101538,pre_lowerbound
2020-09-01,67.61086135700816,pre_lowerbound
2020-09-08,67.06903162998157,pre_lowerbound
2020-09-15,65.89326207316495,pre_lowerbound
2020-09-22,71.5971665959993,pre_lowerbound
2020-09-29,70.66955173633544,pre_lowerbound
2020-06-02,65.5073211188519,pre_upperbound
2020-06-09,66.55639410606172,pre_upperbound
2020-06-16,67.70399911067796,pre_upperbound
2020-06-23,67.62158550120168,pre_upperbound
2020-06-30,67.89345376542586,pre_upperbound
2020-07-07,66.73249209914894,pre_upperbound
2020-07-14,66.23240253036559,pre_upperbound
2020-07-21,67.52029784994455,pre_upperbound
2020-07-28,68.29123683142974,pre_upperbound
2020-08-04,68.27309617342891,pre_upperbound
2020-08-11,74.59131698143338,pre_upperbound
2020-08-18,73.19418755297261,pre_upperbound
2020-08-25,88.16479302661192,pre_upperbound
2020-09-01,87.4608434588202,pre_upperbound
2020-09-08,87.67472117261289,pre_upperbound
2020-09-15,86.20987448553441,pre_upperbound
2020-09-22,90.88380729973802,pre_upperbound
2020-09-29,91.30304403336442,pre_upperbound
2015-09-15,99.86,original
2015-09-22,99.86,original
2015-09-29,99.86,original
2015-10-06,99.86,original
2015-10-13,99.86,original
2015-10-20,99.86,original
2015-10-27,99.86,original
2015-11-03,99.86,original
2015-11-10,99.86,original
2015-11-17,99.86,original
2015-11-24,99.86,original
2015-12-01,99.86,original
2015-12-08,99.86,original
2015-12-15,99.86,original
2015-12-22,100.0,original
2015-12-29,100.0,original
2016-01-05,100.0,original
2016-01-12,100.0,original
2016-01-19,100.0,original
2016-01-26,100.0,original
2016-02-02,100.0,original
2016-02-09,99.78,original
2016-02-16,99.71,original
2016-02-23,99.57,original
2016-03-01,99.57,original
2016-03-08,99.57,original
2016-03-15,99.57,original
2016-03-22,98.84,original
2016-03-29,96.45,original
