ValidStart,value,type
2020-06-02,76.00855787216001,pre
2020-06-09,75.88817527338307,pre
2020-06-16,75.76347698804103,pre
2020-06-23,82.06144894243243,pre
2020-06-30,83.76936454716444,pre
2020-07-07,86.71633283292046,pre
2020-07-14,86.68896330217912,pre
2020-07-21,98.70331117811827,pre
2020-07-28,96.50853751506514,pre
2020-08-04,97.83935133967789,pre
2020-08-11,98.71991282895546,pre
2020-08-18,100.485680809303,pre
2020-08-25,102.5404606113222,pre
2020-09-01,103.72388164215299,pre
2020-09-08,103.70762932114125,pre
2020-09-15,102.76732149152306,pre
2020-09-22,101.50799081035107,pre
2020-09-29,100.72055282528942,pre
2020-06-02,67.6110346397725,pre_lowerbound
2020-06-09,66.98842864314976,pre_lowerbound
2020-06-16,67.43779886005198,pre_lowerbound
2020-06-23,73.1028914468975,pre_lowerbound
2020-06-30,75.34240244131325,pre_lowerbound
2020-07-07,77.68697529845676,pre_lowerbound
2020-07-14,78.30379457364934,pre_lowerbound
2020-07-21,90.22084108514748,pre_lowerbound
2020-07-28,87.28991444153488,pre_lowerbound
2020-08-04,88.79669092617559,pre_lowerbound
2020-08-11,89.85264521885003,pre_lowerbound
2020-08-18,91.56186035481818,pre_lowerbound
2020-08-25,94.9237788025164,pre_lowerbound
2020-09-01,95.30301299270036,pre_lowerbound
2020-09-08,95.05632529741999,pre_lowerbound
2020-09-15,94.33938559434424,pre_lowerbound
2020-09-22,92.61439288810652,pre_lowerbound
2020-09-29,91.75611303237672,pre_lowerbound
2020-06-02,84.33697354580458,pre_upperbound
2020-06-09,84.35367817469212,pre_upperbound
2020-06-16,84.09702038355071,pre_upperbound
2020-06-23,90.7440331309346,pre_upperbound
2020-06-30,92.59942900035244,pre_upperbound
2020-07-07,95.19906489448849,pre_upperbound
2020-07-14,94.54782073847095,pre_upperbound
2020-07-21,107.13435598846797,pre_upperbound
2020-07-28,105.86633159484799,pre_upperbound
2020-08-04,106.30034085544187,pre_upperbound
2020-08-11,107.09463047229835,pre_upperbound
2020-08-18,108.98384500728376,pre_upperbound
2020-08-25,111.54333642152312,pre_upperbound
2020-09-01,112.78533942395099,pre_upperbound
2020-09-08,112.20147059917251,pre_upperbound
2020-09-15,111.68985574219565,pre_upperbound
2020-09-22,109.90615565278368,pre_upperbound
2020-09-29,109.86224057736334,pre_upperbound
2015-09-15,10.510000000000005,original
2015-09-22,25.569999999999993,original
2015-09-29,28.510000000000005,original
2015-10-06,28.510000000000005,original
2015-10-13,34.39,original
2015-10-20,46.46,original
2015-10-27,31.849999999999994,original
2015-11-03,28.730000000000004,original
2015-11-10,20.090000000000003,original
2015-11-17,17.849999999999994,original
2015-11-24,17.11,original
2015-12-01,15.530000000000001,original
2015-12-08,15.530000000000001,original
2015-12-15,11.89,original
2015-12-22,11.89,original
2015-12-29,9.980000000000004,original
2016-01-05,9.980000000000004,original
2016-01-12,10.019999999999996,original
2016-01-19,9.989999999999995,original
2016-01-26,9.989999999999995,original
2016-02-02,10.049999999999997,original
2016-02-09,7.349999999999994,original
2016-02-16,7.349999999999994,original
2016-02-23,7.349999999999994,original
2016-03-01,8.969999999999999,original
2016-03-08,14.420000000000002,original
2016-03-15,27.75,original
2016-03-22,31.25,original
2016-03-29,31.450000000000003,original
2016-04-05,28.989999999999995,original
2016-04-12,29.590000000000003,original
2016-04-19,25.379999999999995,original
2016-04-26,25.36,original
2016-05-03,6.950000000000003,original
2016-05-10,4.780000000000001,original
2016-05-17,4.780000000000001,original
2016-05-24,3.8299999999999983,original
2016-05-31,3.8299999999999983,original
2016-06-07,3.8299999999999983,original
2016-06-14,3.8299999999999983,original
2016-06-21,5.239999999999995,original
2016-06-28,5.239999999999995,original
2016-07-05,5.239999999999995,original
2016-07-12,7.040000000000006,original
2016-07-19,18.870000000000005,original
2016-07-26,19.049999999999997,original
2016-08-02,19.049999999999997,original
2016-08-09,26.659999999999997,original
2016-08-16,28.950000000000003,original
2016-08-23,34.019999999999996,original
2016-08-30,22.599999999999994,original
2016-09-06,22.599999999999994,original
2016-09-13,28.25,original
2016-09-20,28.25,original
2016-09-27,29.510000000000005,original
2016-10-04,24.230000000000004,original
2016-10-11,24.230000000000004,original
2016-10-18,48.09,original
2016-10-25,64.53999999999999,original
2016-11-01,91.1,original
2016-11-08,98.4,original
2016-11-15,98.4,original
2016-11-22,98.4,original
2016-11-29,98.4,original
2016-12-06,98.4,original
2016-12-13,98.34,original
2016-12-20,98.34,original
2016-12-27,68.12,original
2017-01-03,68.12,original
2017-01-10,55.83,original
2017-01-17,55.83,original
2017-01-24,55.73,original
2017-01-31,52.51,original
2017-02-07,52.51,original
2017-02-14,53.12,original
2017-02-21,51.95,original
2017-02-28,51.96,original
2017-03-07,51.96,original
2017-03-14,51.95,original
2017-03-21,51.95,original
2017-03-28,50.51,original
2017-04-04,48.11,original
2017-04-11,48.11,original
2017-04-18,53.99,original
2017-04-25,35.75,original
2017-05-02,16.480000000000004,original
2017-05-09,12.379999999999995,original
2017-05-16,18.739999999999995,original
2017-05-23,5.700000000000003,original
2017-05-30,5.700000000000003,original
2017-06-06,6.159999999999997,original
2017-06-13,6.159999999999997,original
2017-06-20,5.890000000000001,original
2017-06-27,6.180000000000007,original
2017-07-04,14.420000000000002,original
2017-07-11,33.16,original
2017-07-18,35.53,original
2017-07-25,39.95,original
2017-08-01,20.980000000000004,original
2017-08-08,17.310000000000002,original
2017-08-15,14.819999999999993,original
2017-08-22,16.040000000000006,original
2017-08-29,18.709999999999994,original
2017-09-05,32.510000000000005,original
2017-09-12,35.19,original
2017-09-19,35.209999999999994,original
2017-09-26,32.370000000000005,original
2017-10-03,29.459999999999994,original
2017-10-10,21.189999999999998,original
2017-10-17,28.290000000000006,original
2017-10-24,28.430000000000007,original
2017-10-31,28.629999999999995,original
2017-11-07,28.739999999999995,original
2017-11-14,28.739999999999995,original
2017-11-21,28.769999999999996,original
2017-11-28,32.93000000000001,original
2017-12-05,33.040000000000006,original
2017-12-12,88.75,original
2017-12-19,92.83,original
2017-12-26,92.83,original
2018-01-02,93.43,original
2018-01-09,99.41,original
2018-01-16,99.41,original
2018-01-23,99.41,original
2018-01-30,99.41,original
2018-02-06,99.41,original
2018-02-13,91.41,original
2018-02-20,91.41,original
2018-02-27,89.84,original
2018-03-06,89.84,original
2018-03-13,89.84,original
2018-03-20,90.35,original
2018-03-27,90.35,original
2018-04-03,90.35,original
2018-04-10,87.62,original
2018-04-17,84.26,original
2018-04-24,81.53,original
2018-05-01,81.53,original
2018-05-08,81.98,original
2018-05-15,79.51,original
2018-05-22,78.6,original
2018-05-29,75.32,original
2018-06-05,75.31,original
2018-06-12,79.67,original
2018-06-19,78.67,original
2018-06-26,78.67,original
2018-07-03,79.53999999999999,original
2018-07-10,82.5,original
2018-07-17,82.5,original
2018-07-24,82.15,original
2018-07-31,82.05,original
2018-08-07,81.8,original
2018-08-14,81.37,original
2018-08-21,81.43,original
2018-08-28,81.43,original
2018-09-04,80.01,original
2018-09-11,80.01,original
2018-09-18,83.11,original
2018-09-25,85.81,original
2018-10-02,85.81,original
2018-10-09,83.36,original
2018-10-16,83.36,original
2018-10-23,83.36,original
2018-10-30,83.36,original
2018-11-06,83.36,original
2018-11-13,83.36,original
2018-11-20,82.9,original
2018-11-27,82.9,original
2018-12-04,82.9,original
2018-12-11,82.9,original
2018-12-18,82.9,original
2018-12-25,84.12,original
2019-01-01,82.06,original
2019-01-08,85.11,original
2019-01-15,84.09,original
2019-01-22,84.09,original
2019-01-29,84.09,original
2019-02-05,91.86,original
2019-02-12,91.85,original
2019-02-19,91.85,original
2019-02-26,89.36,original
2019-03-05,89.36,original
2019-03-12,83.0,original
2019-03-19,46.13,original
2019-03-26,25.22,original
2019-04-02,21.989999999999995,original
2019-04-09,21.989999999999995,original
2019-04-16,21.989999999999995,original
2019-04-23,21.989999999999995,original
2019-04-30,15.280000000000001,original
2019-05-07,15.769999999999996,original
2019-05-14,10.650000000000006,original
2019-05-21,0.010000000000005116,original
2019-05-28,0.0,original
2019-06-04,0.0,original
2019-06-11,0.0,original
2019-06-18,0.0,original
2019-06-25,0.0,original
2019-07-02,0.0,original
2019-07-09,0.0,original
2019-07-16,0.0,original
2019-07-23,3.069999999999993,original
2019-07-30,4.680000000000007,original
2019-08-06,5.469999999999999,original
2019-08-13,6.650000000000006,original
2019-08-20,6.650000000000006,original
2019-08-27,19.53,original
2019-09-03,41.01,original
2019-09-10,49.55,original
2019-09-17,49.55,original
2019-09-24,65.94,original
2019-10-01,69.86,original
2019-10-08,74.52,original
2019-10-15,74.56,original
2019-10-22,88.36,original
2019-10-29,81.27,original
2019-11-05,81.27,original
2019-11-12,74.26,original
2019-11-19,74.81,original
2019-11-26,75.92,original
2019-12-03,71.8,original
2019-12-10,71.97,original
2019-12-17,68.28,original
2019-12-24,68.28,original
2019-12-31,68.28,original
2020-01-07,68.28,original
2020-01-14,68.28,original
2020-01-21,77.61,original
2020-01-28,77.61,original
2020-02-04,77.61,original
2020-02-11,72.28,original
2020-02-18,71.26,original
2020-02-25,69.91,original
2020-03-03,69.91,original
2020-03-10,69.91,original
2020-03-17,69.91,original
2020-03-24,69.68,original
2020-03-31,67.77000000000001,original
2020-04-07,64.64,original
2020-04-14,66.74000000000001,original
2020-04-21,66.74000000000001,original
2020-04-28,75.53,original
