ValidStart,value,type
2020-06-02,-0.3568198027602503,pre
2020-06-09,-2.0723680119921997,pre
2020-06-16,8.2551491488648,pre
2020-06-23,3.9721172547714136,pre
2020-06-30,5.34896405673216,pre
2020-07-07,38.92232945289997,pre
2020-07-14,46.745176095562385,pre
2020-07-21,6.9281540862580995,pre
2020-07-28,-0.7204943232993529,pre
2020-08-04,-2.060282471212912,pre
2020-08-11,-3.5824068731056444,pre
2020-08-18,-3.2491314907216458,pre
2020-08-25,0.734666512061567,pre
2020-09-01,7.0683380140934,pre
2020-09-08,11.823002910105082,pre
2020-09-15,12.223840963917992,pre
2020-09-22,9.446131502907052,pre
2020-09-29,7.019893481528092,pre
2020-06-02,-18.258036029346762,pre_lowerbound
2020-06-09,-20.316438003068715,pre_lowerbound
2020-06-16,-9.920052777730833,pre_lowerbound
2020-06-23,-15.695063417170124,pre_lowerbound
2020-06-30,-12.291459517936852,pre_lowerbound
2020-07-07,20.256353184399853,pre_lowerbound
2020-07-14,27.16278960306998,pre_lowerbound
2020-07-21,-11.266577266721228,pre_lowerbound
2020-07-28,-18.600000519296294,pre_lowerbound
2020-08-04,-21.48883766972651,pre_lowerbound
2020-08-11,-20.999019520638363,pre_lowerbound
2020-08-18,-23.065738061171416,pre_lowerbound
2020-08-25,-17.158539052985994,pre_lowerbound
2020-09-01,-12.185927190192126,pre_lowerbound
2020-09-08,-6.639283549199634,pre_lowerbound
2020-09-15,-5.9581104272102134,pre_lowerbound
2020-09-22,-9.084413390184226,pre_lowerbound
2020-09-29,-11.120743553947378,pre_lowerbound
2020-06-02,17.769359358403808,pre_upperbound
2020-06-09,17.7412136187538,pre_upperbound
2020-06-16,26.3441796015982,pre_upperbound
2020-06-23,23.021976571699657,pre_upperbound
2020-06-30,23.07505724662089,pre_upperbound
2020-07-07,57.390281285265985,pre_upperbound
2020-07-14,65.68386048855913,pre_upperbound
2020-07-21,25.363190052282683,pre_upperbound
2020-07-28,17.037581778221917,pre_upperbound
2020-08-04,17.26094801408635,pre_upperbound
2020-08-11,16.10343948910472,pre_upperbound
2020-08-18,15.874626622569096,pre_upperbound
2020-08-25,18.238599594555303,pre_upperbound
2020-09-01,24.265488635432447,pre_upperbound
2020-09-08,30.37157530481884,pre_upperbound
2020-09-15,29.969278853107465,pre_upperbound
2020-09-22,28.163228915066988,pre_upperbound
2020-09-29,25.59090782099497,pre_upperbound
2015-09-15,33.59,original
2015-09-22,43.81,original
2015-09-29,43.81,original
2015-10-06,0.0,original
2015-10-13,0.0,original
2015-10-20,0.0,original
2015-10-27,0.0,original
2015-11-03,0.0,original
2015-11-10,0.0,original
2015-11-17,0.0,original
2015-11-24,0.0,original
2015-12-01,0.0,original
2015-12-08,0.0,original
2015-12-15,0.0,original
2015-12-22,0.0,original
2015-12-29,0.0,original
2016-01-05,0.0,original
2016-01-12,0.0,original
2016-01-19,0.0,original
2016-01-26,0.0,original
2016-02-02,0.0,original
2016-02-09,0.0,original
2016-02-16,0.0,original
2016-02-23,0.0,original
2016-03-01,0.0,original
2016-03-08,0.0,original
2016-03-15,0.0,original
2016-03-22,0.0,original
2016-03-29,0.0,original
2016-04-05,0.0,original
2016-04-12,0.0,original
2016-04-19,0.29999999999999716,original
2016-04-26,26.25,original
2016-05-03,27.840000000000003,original
2016-05-10,0.0,original
2016-05-17,0.0,original
2016-05-24,0.0,original
2016-05-31,0.0,original
2016-06-07,0.0,original
2016-06-14,0.0,original
2016-06-21,0.0,original
2016-06-28,0.0,original
2016-07-05,0.0,original
2016-07-12,0.0,original
2016-07-19,0.0,original
2016-07-26,0.0,original
2016-08-02,0.0,original
2016-08-09,0.0,original
2016-08-16,0.0,original
2016-08-23,0.0,original
2016-08-30,0.010000000000005116,original
2016-09-06,0.010000000000005116,original
2016-09-13,66.25999999999999,original
2016-09-20,10.810000000000002,original
2016-09-27,17.769999999999996,original
2016-10-04,0.0,original
2016-10-11,0.0,original
2016-10-18,0.0,original
2016-10-25,0.0,original
2016-11-01,0.0,original
2016-11-08,0.3499999999999943,original
2016-11-15,17.08,original
2016-11-22,25.67,original
2016-11-29,25.67,original
2016-12-06,55.83,original
2016-12-13,55.83,original
2016-12-20,55.83,original
2016-12-27,55.83,original
2017-01-03,55.83,original
2017-01-10,55.83,original
2017-01-17,55.83,original
2017-01-24,100.0,original
2017-01-31,100.0,original
2017-02-07,100.0,original
2017-02-14,100.0,original
2017-02-21,100.0,original
2017-02-28,100.0,original
2017-03-07,100.0,original
2017-03-14,99.98,original
2017-03-21,7.459999999999994,original
2017-03-28,7.459999999999994,original
2017-04-04,0.29000000000000625,original
2017-04-11,0.0,original
2017-04-18,0.0,original
2017-04-25,0.0,original
2017-05-02,0.0,original
2017-05-09,0.0,original
2017-05-16,0.0,original
2017-05-23,0.0,original
2017-05-30,0.0,original
2017-06-06,0.0,original
2017-06-13,0.0,original
2017-06-20,0.0,original
2017-06-27,0.0,original
2017-07-04,18.33,original
2017-07-11,5.730000000000004,original
2017-07-18,0.0,original
2017-07-25,0.0,original
2017-08-01,0.0,original
2017-08-08,0.0,original
2017-08-15,0.0,original
2017-08-22,0.0,original
2017-08-29,0.0,original
2017-09-05,0.0,original
2017-09-12,0.0,original
2017-09-19,0.0,original
2017-09-26,0.0,original
2017-10-03,0.010000000000005116,original
2017-10-10,66.55,original
2017-10-17,66.55,original
2017-10-24,85.64,original
2017-10-31,0.0,original
2017-11-07,0.0,original
2017-11-14,0.0,original
2017-11-21,0.0,original
2017-11-28,0.0,original
2017-12-05,4.840000000000003,original
2017-12-12,11.230000000000004,original
2017-12-19,12.069999999999993,original
2017-12-26,12.069999999999993,original
2018-01-02,59.37,original
2018-01-09,59.37,original
2018-01-16,59.49,original
2018-01-23,59.49,original
2018-01-30,59.49,original
2018-02-06,22.08,original
2018-02-13,5.989999999999995,original
2018-02-20,5.989999999999995,original
2018-02-27,5.989999999999995,original
2018-03-06,5.989999999999995,original
2018-03-13,5.989999999999995,original
2018-03-20,5.989999999999995,original
2018-03-27,5.989999999999995,original
