ValidStart,value,type
2020-06-02,66.81368985594484,pre
2020-06-09,32.25786934407612,pre
2020-06-16,-4.619578387012008,pre
2020-06-23,-3.4813956773027943,pre
2020-06-30,-2.343941428216789,pre
2020-07-07,1.0334212722664369,pre
2020-07-14,1.7093778090785734,pre
2020-07-21,1.5742103652872208,pre
2020-07-28,10.897309385727835,pre
2020-08-04,6.689286467877651,pre
2020-08-11,7.373444010286047,pre
2020-08-18,8.046636935869547,pre
2020-08-25,11.23679437239913,pre
2020-09-01,7.330437141646321,pre
2020-09-08,4.414933536032852,pre
2020-09-15,1.8424653753883236,pre
2020-09-22,3.8886972332849443,pre
2020-09-29,4.299785194213691,pre
2020-06-02,56.72649152392144,pre_lowerbound
2020-06-09,21.76812818125546,pre_lowerbound
2020-06-16,-13.91229054835712,pre_lowerbound
2020-06-23,-13.722973960424167,pre_lowerbound
2020-06-30,-13.07696238213721,pre_lowerbound
2020-07-07,-8.79876925384521,pre_lowerbound
2020-07-14,-7.707116318448792,pre_lowerbound
2020-07-21,-9.05473288039496,pre_lowerbound
2020-07-28,0.6471910843498289,pre_lowerbound
2020-08-04,-3.3773867727807634,pre_lowerbound
2020-08-11,-2.5804111861250862,pre_lowerbound
2020-08-18,-1.6447416025764992,pre_lowerbound
2020-08-25,1.9371288866598626,pre_lowerbound
2020-09-01,-2.5829366539576477,pre_lowerbound
2020-09-08,-5.921929944873818,pre_lowerbound
2020-09-15,-8.057630563914728,pre_lowerbound
2020-09-22,-5.6606761970045225,pre_lowerbound
2020-09-29,-5.828267692953802,pre_lowerbound
2020-06-02,76.54599968452719,pre_upperbound
2020-06-09,42.70459236119698,pre_upperbound
2020-06-16,5.599264150736346,pre_upperbound
2020-06-23,6.701815016868319,pre_upperbound
2020-06-30,8.008175582536152,pre_upperbound
2020-07-07,10.875833876342545,pre_upperbound
2020-07-14,12.035886838258735,pre_upperbound
2020-07-21,11.27946125391137,pre_upperbound
2020-07-28,20.538853343322607,pre_upperbound
2020-08-04,16.012612212423836,pre_upperbound
2020-08-11,17.4257711653911,pre_upperbound
2020-08-18,17.816197315619412,pre_upperbound
2020-08-25,20.98731120606816,pre_upperbound
2020-09-01,18.20233031192547,pre_upperbound
