ValidStart,value,type
2020-06-02,-1.0518420941979432,pre
2020-06-09,0.08089692609783798,pre
2020-06-16,-1.9147628576327456,pre
2020-06-23,-1.068307170009181,pre
2020-06-30,-0.5168744559591517,pre
2020-07-07,1.2551271365232393,pre
2020-07-14,1.029135310600346,pre
2020-07-21,4.269042083427244,pre
2020-07-28,32.23819799626457,pre
2020-08-04,57.08729088518495,pre
2020-08-11,55.05733063363999,pre
2020-08-18,40.35946037170772,pre
2020-08-25,11.796853165675998,pre
2020-09-01,0.14563408242731382,pre
2020-09-08,8.996346929856344,pre
2020-09-15,20.889374697690613,pre
2020-09-22,15.420599427716656,pre
2020-09-29,8.849848226241082,pre
2020-06-02,-12.800617308441591,pre_lowerbound
2020-06-09,-10.998629979689634,pre_lowerbound
2020-06-16,-13.635335611405742,pre_lowerbound
2020-06-23,-12.011948241394485,pre_lowerbound
2020-06-30,-12.324569683336208,pre_lowerbound
2020-07-07,-10.208460166009331,pre_lowerbound
2020-07-14,-11.641752432692268,pre_lowerbound
2020-07-21,-6.6265381334151785,pre_lowerbound
2020-07-28,21.1538687836303,pre_lowerbound
2020-08-04,45.85907385610902,pre_lowerbound
2020-08-11,43.93378143251884,pre_lowerbound
2020-08-18,28.66656290622754,pre_lowerbound
2020-08-25,-0.09105807577119329,pre_lowerbound
2020-09-01,-11.003507537677692,pre_lowerbound
2020-09-08,-2.3368282757107144,pre_lowerbound
2020-09-15,9.614392997152898,pre_lowerbound
2020-09-22,4.278415101917755,pre_lowerbound
2020-09-29,-1.698438581949035,pre_lowerbound
2020-06-02,10.14266132285117,pre_upperbound
2020-06-09,11.053030809811014,pre_upperbound
2020-06-16,9.000707885546712,pre_upperbound
2020-06-23,10.639669303654202,pre_upperbound
2020-06-30,11.528784963769622,pre_upperbound
2020-07-07,12.996896379606174,pre_upperbound
2020-07-14,12.079747796821371,pre_upperbound
2020-07-21,16.057885229135923,pre_upperbound
2020-07-28,44.45579513551941,pre_upperbound
2020-08-04,68.14321854967558,pre_upperbound
2020-08-11,66.82015995823375,pre_upperbound
2020-08-18,51.15479204035266,pre_upperbound
2020-08-25,23.848668837961807,pre_upperbound
2020-09-01,11.86160016382945,pre_upperbound
2020-09-08,20.94783910533155,pre_upperbound
2020-09-15,32.77979788355162,pre_upperbound
2020-09-22,25.64717876154002,pre_upperbound
2020-09-29,20.696439467639387,pre_upperbound
2015-09-15,42.27,original
2015-09-22,42.61,original
2015-09-29,36.54,original
2015-10-06,28.760000000000005,original
2015-10-13,31.439999999999998,original
2015-10-20,33.89,original
2015-10-27,31.510000000000005,original
2015-11-03,22.290000000000006,original
2015-11-10,8.400000000000006,original
2015-11-17,11.090000000000003,original
2015-11-24,11.590000000000003,original
2015-12-01,12.099999999999994,original
2015-12-08,11.409999999999997,original
2015-12-15,14.670000000000002,original
2015-12-22,14.670000000000002,original
2015-12-29,12.64,original
2016-01-05,12.64,original
2016-01-12,12.64,original
2016-01-19,12.64,original
2016-01-26,12.599999999999994,original
2016-02-02,13.730000000000004,original
2016-02-09,1.2900000000000063,original
2016-02-16,1.2900000000000063,original
2016-02-23,1.2900000000000063,original
2016-03-01,2.739999999999995,original
2016-03-08,9.64,original
2016-03-15,13.219999999999999,original
2016-03-22,23.379999999999995,original
2016-03-29,31.430000000000007,original
2016-04-05,18.730000000000004,original
2016-04-12,21.370000000000005,original
2016-04-19,21.42,original
2016-04-26,25.790000000000006,original
2016-05-03,37.08,original
2016-05-10,41.88,original
2016-05-17,47.08,original
2016-05-24,38.29,original
2016-05-31,37.36,original
2016-06-07,35.290000000000006,original
2016-06-14,37.84,original
2016-06-21,47.63,original
2016-06-28,48.28,original
2016-07-05,48.31,original
2016-07-12,55.28,original
2016-07-19,65.03999999999999,original
2016-07-26,65.11,original
2016-08-02,67.81,original
2016-08-09,68.15,original
2016-08-16,70.76,original
2016-08-23,73.98,original
2016-08-30,81.32,original
2016-09-06,58.16,original
2016-09-13,60.64,original
2016-09-20,60.64,original
2016-09-27,64.63,original
2016-10-04,64.68,original
2016-10-11,61.96,original
2016-10-18,66.05,original
2016-10-25,66.05,original
2016-11-01,73.59,original
2016-11-08,84.31,original
2016-11-15,84.31,original
2016-11-22,100.0,original
2016-11-29,100.0,original
2016-12-06,100.0,original
2016-12-13,90.91,original
2016-12-20,91.16,original
2016-12-27,91.16,original
2017-01-03,88.69,original
2017-01-10,88.56,original
2017-01-17,88.56,original
2017-01-24,42.36,original
2017-01-31,42.36,original
2017-02-07,42.36,original
2017-02-14,36.93,original
2017-02-21,36.93,original
2017-02-28,33.739999999999995,original
2017-03-07,33.739999999999995,original
2017-03-14,31.5,original
2017-03-21,61.5,original
2017-03-28,98.91,original
2017-04-04,98.91,original
2017-04-11,96.16,original
2017-04-18,97.25,original
2017-04-25,90.87,original
2017-05-02,88.57,original
2017-05-09,88.13,original
2017-05-16,88.17,original
2017-05-23,70.38,original
2017-05-30,54.83,original
2017-06-06,40.31,original
2017-06-13,37.17,original
2017-06-20,30.230000000000004,original
2017-06-27,24.150000000000006,original
2017-07-04,1.0300000000000011,original
2017-07-11,1.0300000000000011,original
2017-07-18,1.0300000000000011,original
2017-07-25,0.0,original
2017-08-01,0.0,original
2017-08-08,0.0,original
2017-08-15,0.0,original
2017-08-22,0.0,original
2017-08-29,12.120000000000005,original
2017-09-05,9.64,original
2017-09-12,0.0,original
2017-09-19,0.0,original
2017-09-26,0.0,original
2017-10-03,0.0,original
2017-10-10,0.0,original
2017-10-17,25.060000000000002,original
2017-10-24,16.599999999999994,original
2017-10-31,16.599999999999994,original
2017-11-07,20.790000000000006,original
2017-11-14,51.97,original
2017-11-21,66.87,original
2017-11-28,71.59,original
2017-12-05,75.09,original
2017-12-12,75.2,original
2017-12-19,76.13,original
2017-12-26,69.33,original
2018-01-02,87.86,original
2018-01-09,98.02,original
2018-01-16,97.73,original
2018-01-23,99.65,original
2018-01-30,98.46,original
2018-02-06,92.53,original
2018-02-13,70.87,original
2018-02-20,68.17,original
2018-02-27,68.17,original
2018-03-06,70.34,original
2018-03-13,68.2,original
2018-03-20,66.08,original
2018-03-27,68.85,original
2018-04-03,68.73,original
2018-04-10,76.31,original
2018-04-17,71.8,original
2018-04-24,58.13,original
2018-05-01,57.54,original
2018-05-08,59.5,original
2018-05-15,59.72,original
2018-05-22,33.370000000000005,original
2018-05-29,0.8299999999999983,original
2018-06-05,0.0,original
2018-06-12,0.0,original
2018-06-19,0.0,original
2018-06-26,0.0,original
2018-07-03,0.0,original
2018-07-10,0.0,original
2018-07-17,0.0,original
2018-07-24,0.0,original
2018-07-31,0.0,original
2018-08-07,0.0,original
2018-08-14,0.0,original
2018-08-21,0.0,original
2018-08-28,0.0,original
2018-09-04,7.840000000000003,original
2018-09-11,6.989999999999995,original
2018-09-18,17.290000000000006,original
2018-09-25,29.049999999999997,original
2018-10-02,45.48,original
2018-10-09,57.41,original
2018-10-16,23.819999999999993,original
2018-10-23,33.209999999999994,original
2018-10-30,18.72,original
2018-11-06,19.549999999999997,original
2018-11-13,14.530000000000001,original
2018-11-20,10.400000000000006,original
2018-11-27,11.0,original
2018-12-04,2.280000000000001,original
2018-12-11,0.0,original
2018-12-18,0.0,original
2018-12-25,0.0,original
2019-01-01,0.0,original
2019-01-08,0.0,original
2019-01-15,0.0,original
2019-01-22,0.0,original
2019-01-29,0.0,original
2019-02-05,0.0,original
2019-02-12,0.0,original
2019-02-19,0.04000000000000625,original
2019-02-26,1.7999999999999972,original
2019-03-05,1.8100000000000023,original
2019-03-12,27.230000000000004,original
2019-03-19,33.290000000000006,original
2019-03-26,60.67,original
2019-04-02,79.12,original
2019-04-09,79.12,original
2019-04-16,76.85,original
2019-04-23,69.43,original
2019-04-30,70.42,original
2019-05-07,70.42,original
2019-05-14,66.21000000000001,original
2019-05-21,67.89,original
2019-05-28,92.57,original
2019-06-04,93.03,original
2019-06-11,71.6,original
2019-06-18,49.07,original
2019-06-25,43.32,original
2019-07-02,36.65,original
2019-07-09,31.459999999999994,original
2019-07-16,28.22,original
2019-07-23,24.689999999999998,original
2019-07-30,23.629999999999995,original
2019-08-06,24.230000000000004,original
2019-08-13,44.66,original
2019-08-20,36.88,original
2019-08-27,32.22,original
2019-09-03,27.92,original
2019-09-10,40.44,original
2019-09-17,64.91,original
2019-09-24,99.28,original
2019-10-01,100.0,original
2019-10-08,100.0,original
2019-10-15,100.0,original
2019-10-22,100.0,original
2019-10-29,96.11,original
2019-11-05,91.28999999999999,original
2019-11-12,65.69,original
2019-11-19,46.4,original
2019-11-26,44.08,original
2019-12-03,36.83,original
2019-12-10,37.13,original
2019-12-17,29.680000000000007,original
2019-12-24,4.0,original
2019-12-31,4.0,original
2020-01-07,4.0,original
2020-01-14,4.0,original
2020-01-21,6.010000000000005,original
2020-01-28,10.560000000000002,original
2020-02-04,11.879999999999995,original
2020-02-11,3.319999999999993,original
2020-02-18,2.3700000000000045,original
2020-02-25,1.4899999999999949,original
2020-03-03,0.0,original
2020-03-10,0.0,original
2020-03-17,0.0,original
2020-03-24,9.61,original
2020-03-31,14.549999999999997,original
2020-04-07,22.72,original
2020-04-14,12.310000000000002,original
2020-04-21,2.9599999999999937,original
2020-04-28,0.0,original
2020-05-05,0.0,original
2020-05-12,0.0,original
2020-05-19,2.4200000000000017,original
2020-05-26,2.4200000000000017,original
2020-06-02,2.4200000000000017,original
2020-06-09,0.0,original
2020-06-16,0.0,original
2020-06-23,0.0,original
2020-06-30,0.7199999999999989,original
2020-07-07,0.0,original
2020-07-14,2.4399999999999977,original
2020-07-21,26.950000000000003,original
2020-07-28,52.53,original
2020-08-04,55.05,original
2020-08-11,43.11,original
2020-08-18,17.17,original
2020-08-25,2.739999999999995,original
2020-09-01,6.579999999999998,original
2020-09-08,15.290000000000006,original
2020-09-15,10.5,original
2020-09-22,4.269999999999996,original
2020-09-29,2.799999999999997,original
