ValidStart,value,type
2020-06-02,45.85751361537858,pre
2020-06-09,47.77594832839953,pre
2020-06-16,49.341218079230494,pre
2020-06-23,53.9455557328427,pre
2020-06-30,46.53985664865806,pre
2020-07-07,31.67126677520322,pre
2020-07-14,32.32811771866045,pre
2020-07-21,32.360550924543176,pre
2020-07-28,32.25726694786393,pre
2020-08-04,32.549010175689574,pre
2020-08-11,33.86524643544272,pre
2020-08-18,35.56784330571213,pre
2020-08-25,36.65826808588007,pre
2020-09-01,37.557741844069355,pre
2020-09-08,37.21327912106508,pre
2020-09-15,45.268825595256,pre
2020-09-22,53.72414335301166,pre
2020-09-29,62.11113924238192,pre
2020-06-02,35.551946012476975,pre_lowerbound
2020-06-09,37.62006291915299,pre_lowerbound
2020-06-16,38.84840131244893,pre_lowerbound
2020-06-23,42.76969753118383,pre_lowerbound
2020-06-30,36.39112543109506,pre_lowerbound
2020-07-07,20.827997322103457,pre_lowerbound
2020-07-14,21.52806587513463,pre_lowerbound
2020-07-21,23.001702798330513,pre_lowerbound
2020-07-28,21.922385424265627,pre_lowerbound
2020-08-04,22.557312172934747,pre_lowerbound
2020-08-11,23.039534086750667,pre_lowerbound
2020-08-18,25.452805398272133,pre_lowerbound
2020-08-25,25.74755725386647,pre_lowerbound
2020-09-01,26.513548031855855,pre_lowerbound
2020-09-08,26.27840182821119,pre_lowerbound
2020-09-15,34.40799299008961,pre_lowerbound
2020-09-22,42.560569179273195,pre_lowerbound
2020-09-29,51.72724214496707,pre_lowerbound
2020-06-02,56.76732237548635,pre_upperbound
2020-06-09,58.4251749812607,pre_upperbound
2020-06-16,60.39665626441088,pre_upperbound
2020-06-23,64.27606229656207,pre_upperbound
2020-06-30,57.09841566818534,pre_upperbound
2020-07-07,42.2991162496689,pre_upperbound
2020-07-14,42.50479079046916,pre_upperbound
2020-07-21,43.971572229075015,pre_upperbound
2020-07-28,42.002321897040446,pre_upperbound
2020-08-04,43.58675836012551,pre_upperbound
2020-08-11,44.47130630910967,pre_upperbound
2020-08-18,46.51325347459017,pre_upperbound
2020-08-25,46.60072636357137,pre_upperbound
2020-09-01,47.97850785608358,pre_upperbound
2020-09-08,47.62820914618348,pre_upperbound
2020-09-15,55.75199456816238,pre_upperbound
2020-09-22,63.876483219018915,pre_upperbound
2020-09-29,72.35002148336294,pre_upperbound
2015-09-15,100.0,original
2015-09-22,100.0,original
2015-09-29,100.0,original
2015-10-06,91.49,original
2015-10-13,91.49,original
2015-10-20,91.49,original
2015-10-27,91.49,original
2015-11-03,91.37,original
2015-11-10,91.37,original
2015-11-17,91.37,original
2015-11-24,91.37,original
2015-12-01,91.37,original
2015-12-08,91.37,original
2015-12-15,89.49,original
2015-12-22,89.37,original
2015-12-29,89.02,original
2016-01-05,89.02,original
2016-01-12,89.05,original
2016-01-19,88.77,original
2016-01-26,88.81,original
2016-02-02,88.81,original
2016-02-09,88.81,original
2016-02-16,88.81,original
2016-02-23,88.47,original
2016-03-01,88.42,original
2016-03-08,80.94,original
2016-03-15,77.53,original
2016-03-22,21.760000000000005,original
2016-03-29,21.08,original
2016-04-05,8.030000000000001,original
2016-04-12,8.030000000000001,original
2016-04-19,8.049999999999997,original
2016-04-26,8.049999999999997,original
2016-05-03,7.920000000000002,original
2016-05-10,7.590000000000003,original
2016-05-17,7.590000000000003,original
2016-05-24,7.590000000000003,original
2016-05-31,7.590000000000003,original
2016-06-07,13.879999999999995,original
2016-06-14,19.769999999999996,original
2016-06-21,19.769999999999996,original
2016-06-28,39.88,original
2016-07-05,56.79,original
2016-07-12,59.96,original
2016-07-19,59.85,original
2016-07-26,59.9,original
2016-08-02,59.93,original
2016-08-09,70.34,original
2016-08-16,70.34,original
2016-08-23,70.34,original
2016-08-30,82.89,original
2016-09-06,89.23,original
2016-09-13,93.86,original
2016-09-20,93.86,original
2016-09-27,93.86,original
2016-10-04,93.86,original
2016-10-11,49.64,original
2016-10-18,19.510000000000005,original
2016-10-25,18.189999999999998,original
2016-11-01,17.340000000000003,original
2016-11-08,17.340000000000003,original
2016-11-15,17.340000000000003,original
2016-11-22,17.340000000000003,original
2016-11-29,17.340000000000003,original
2016-12-06,17.340000000000003,original
2016-12-13,17.439999999999998,original
2016-12-20,15.659999999999997,original
2016-12-27,10.019999999999996,original
2017-01-03,10.019999999999996,original
2017-01-10,1.8700000000000045,original
2017-01-17,1.8700000000000045,original
2017-01-24,1.8700000000000045,original
2017-01-31,1.8700000000000045,original
2017-02-07,1.8700000000000045,original
2017-02-14,1.8700000000000045,original
2017-02-21,1.8700000000000045,original
2017-02-28,0.6700000000000017,original
2017-03-07,0.0,original
2017-03-14,0.0,original
2017-03-21,0.0,original
2017-03-28,0.0,original
2017-04-04,0.0,original
2017-04-11,0.0,original
2017-04-18,0.0,original
2017-04-25,0.0,original
2017-05-02,0.0,original
2017-05-09,0.0,original
2017-05-16,0.0,original
2017-05-23,0.0,original
2017-05-30,0.0,original
2017-06-06,0.0,original
2017-06-13,0.0,original
2017-06-20,0.0,original
2017-06-27,0.0,original
2017-07-04,0.0,original
2017-07-11,0.010000000000005116,original
2017-07-18,11.209999999999994,original
2017-07-25,16.67,original
2017-08-01,20.83,original
2017-08-08,26.379999999999995,original
2017-08-15,44.56,original
2017-08-22,44.56,original
2017-08-29,56.52,original
2017-09-05,90.03999999999999,original
2017-09-12,90.03999999999999,original
2017-09-19,89.46000000000001,original
2017-09-26,64.02000000000001,original
2017-10-03,63.31,original
2017-10-10,63.31,original
2017-10-17,63.22,original
2017-10-24,37.98,original
2017-10-31,37.98,original
2017-11-07,21.230000000000004,original
2017-11-14,21.150000000000006,original
2017-11-21,2.280000000000001,original
2017-11-28,0.12999999999999545,original
2017-12-05,0.12999999999999545,original
2017-12-12,0.12999999999999545,original
2017-12-19,0.1599999999999966,original
2017-12-26,0.030000000000001137,original
2018-01-02,0.030000000000001137,original
2018-01-09,1.1500000000000057,original
2018-01-16,4.569999999999993,original
2018-01-23,4.569999999999993,original
2018-01-30,39.51,original
2018-02-06,39.63,original
2018-02-13,40.02,original
2018-02-20,40.02,original
2018-02-27,44.27,original
2018-03-06,44.27,original
2018-03-13,44.27,original
2018-03-20,44.27,original
2018-03-27,41.0,original
2018-04-03,41.0,original
2018-04-10,41.0,original
2018-04-17,41.0,original
2018-04-24,41.0,original
2018-05-01,35.83,original
2018-05-08,36.5,original
2018-05-15,27.42,original
2018-05-22,27.290000000000006,original
2018-05-29,27.290000000000006,original
2018-06-05,27.290000000000006,original
2018-06-12,27.290000000000006,original
2018-06-19,32.61,original
2018-06-26,32.61,original
2018-07-03,32.730000000000004,original
2018-07-10,33.39,original
2018-07-17,42.79,original
2018-07-24,43.43,original
2018-07-31,65.97999999999999,original
2018-08-07,65.97999999999999,original
2018-08-14,86.56,original
2018-08-21,100.0,original
2018-08-28,99.51,original
2018-09-04,99.51,original
2018-09-11,99.51,original
2018-09-18,99.51,original
2018-09-25,99.51,original
2018-10-02,99.51,original
2018-10-09,90.13,original
2018-10-16,77.05,original
2018-10-23,77.05,original
2018-10-30,68.91,original
2018-11-06,60.37,original
2018-11-13,60.37,original
2018-11-20,60.37,original
2018-11-27,60.37,original
2018-12-04,60.37,original
2018-12-11,65.71000000000001,original
2018-12-18,65.71000000000001,original
2018-12-25,65.71000000000001,original
2019-01-01,66.72,original
2019-01-08,66.72,original
2019-01-15,80.58,original
2019-01-22,80.58,original
2019-01-29,80.58,original
2019-02-05,81.59,original
2019-02-12,81.59,original
2019-02-19,77.18,original
2019-02-26,64.00999999999999,original
2019-03-05,64.00999999999999,original
2019-03-12,15.620000000000005,original
2019-03-19,15.14,original
2019-03-26,15.200000000000003,original
2019-04-02,15.200000000000003,original
2019-04-09,10.069999999999993,original
2019-04-16,6.349999999999994,original
2019-04-23,5.920000000000002,original
2019-04-30,5.920000000000002,original
2019-05-07,5.930000000000007,original
2019-05-14,5.930000000000007,original
2019-05-21,5.930000000000007,original
2019-05-28,5.930000000000007,original
2019-06-04,5.930000000000007,original
2019-06-11,6.420000000000002,original
2019-06-18,6.420000000000002,original
2019-06-25,6.420000000000002,original
2019-07-02,8.950000000000003,original
2019-07-09,14.079999999999998,original
2019-07-16,14.079999999999998,original
2019-07-23,13.209999999999994,original
2019-07-30,13.209999999999994,original
2019-08-06,16.200000000000003,original
2019-08-13,6.900000000000006,original
2019-08-20,6.900000000000006,original
2019-08-27,6.900000000000006,original
2019-09-03,16.760000000000005,original
2019-09-10,16.760000000000005,original
2019-09-17,6.590000000000003,original
2019-09-24,4.6200000000000045,original
2019-10-01,4.6200000000000045,original
2019-10-08,2.739999999999995,original
2019-10-15,2.739999999999995,original
2019-10-22,2.739999999999995,original
2019-10-29,0.0,original
2019-11-05,0.0,original
2019-11-12,0.0,original
2019-11-19,0.0,original
2019-11-26,0.0,original
2019-12-03,0.0,original
2019-12-10,58.95,original
2019-12-17,58.33,original
2019-12-24,58.33,original
2019-12-31,64.33,original
2020-01-07,66.31,original
2020-01-14,61.28,original
2020-01-21,55.12,original
2020-01-28,55.12,original
2020-02-04,52.32,original
2020-02-11,33.370000000000005,original
2020-02-18,33.36,original
2020-02-25,34.010000000000005,original
2020-03-03,34.22,original
2020-03-10,34.22,original
2020-03-17,34.22,original
2020-03-24,34.22,original
2020-03-31,34.22,original
2020-04-07,34.56,original
2020-04-14,41.11,original
2020-04-21,40.21,original
2020-04-28,42.93,original
2020-05-05,44.93,original
2020-05-12,53.43,original
2020-05-19,53.43,original
2020-05-26,48.68,original
2020-06-02,49.28,original
2020-06-09,49.16,original
2020-06-16,52.59,original
2020-06-23,44.46,original
2020-06-30,28.599999999999994,original
2020-07-07,28.560000000000002,original
2020-07-14,28.560000000000002,original
2020-07-21,28.560000000000002,original
2020-07-28,28.560000000000002,original
2020-08-04,28.709999999999994,original
2020-08-11,28.72,original
2020-08-18,28.709999999999994,original
2020-08-25,30.060000000000002,original
2020-09-01,31.680000000000007,original
2020-09-08,42.78,original
2020-09-15,54.9,original
2020-09-22,67.12,original
2020-09-29,70.78,original
