ValidStart,value,type
2020-06-02,15.618293720494114,pre
2020-06-09,14.296920465764044,pre
2020-06-16,0.9283399363515504,pre
2020-06-23,6.084843852504833,pre
2020-06-30,5.9704255318336905,pre
2020-07-07,6.610100162190937,pre
2020-07-14,5.547128538963653,pre
2020-07-21,7.509750129005657,pre
2020-07-28,17.941250227629123,pre
2020-08-04,8.297559062606474,pre
2020-08-11,3.555411873098159,pre
2020-08-18,9.48125541504128,pre
2020-08-25,4.685059679930093,pre
2020-09-01,4.73444502297795,pre
2020-09-08,0.7081787230959773,pre
2020-09-15,1.8167052081733785,pre
2020-09-22,8.793054960467327,pre
2020-09-29,11.972818351911995,pre
2020-06-02,0.6954496376783512,pre_lowerbound
2020-06-09,0.1872888423672445,pre_lowerbound
2020-06-16,-14.014930786760281,pre_lowerbound
2020-06-23,-8.122176954840626,pre_lowerbound
2020-06-30,-9.880944368413966,pre_lowerbound
2020-07-07,-8.42388883655756,pre_lowerbound
2020-07-14,-9.622771431380983,pre_lowerbound
2020-07-21,-7.24790989627109,pre_lowerbound
2020-07-28,3.2265145496027827,pre_lowerbound
2020-08-04,-6.165590906080391,pre_lowerbound
2020-08-11,-10.895775885533366,pre_lowerbound
2020-08-18,-4.933505262747183,pre_lowerbound
2020-08-25,-9.549718248473893,pre_lowerbound
2020-09-01,-10.865560131170243,pre_lowerbound
2020-09-08,-13.476408419235511,pre_lowerbound
2020-09-15,-12.902786325087229,pre_lowerbound
2020-09-22,-6.526312113833862,pre_lowerbound
2020-09-29,-3.7868717476148106,pre_lowerbound
2020-06-02,30.48631427516674,pre_upperbound
2020-06-09,29.383837602394994,pre_upperbound
2020-06-16,15.005030178703642,pre_upperbound
2020-06-23,20.406070668217424,pre_upperbound
2020-06-30,21.15527939694095,pre_upperbound
2020-07-07,20.81992738110707,pre_upperbound
2020-07-14,20.595340684358032,pre_upperbound
2020-07-21,22.3263829415572,pre_upperbound
2020-07-28,32.08001967924853,pre_upperbound
2020-08-04,23.03730943518687,pre_upperbound
2020-08-11,16.84343647748134,pre_upperbound
2020-08-18,24.545933676599645,pre_upperbound
2020-08-25,19.85837266820242,pre_upperbound
2020-09-01,19.144655977938633,pre_upperbound
2020-09-08,16.634613987345627,pre_upperbound
2020-09-15,16.134026472061556,pre_upperbound
2020-09-22,23.8536136246042,pre_upperbound
2020-09-29,27.51410225779209,pre_upperbound
2015-09-15,93.97,original
2015-09-22,95.6,original
2015-09-29,93.14,original
2015-10-06,96.7,original
2015-10-13,96.52,original
2015-10-20,96.52,original
2015-10-27,56.53,original
2015-11-03,16.269999999999996,original
2015-11-10,2.0600000000000023,original
2015-11-17,2.0600000000000023,original
2015-11-24,0.0,original
2015-12-01,0.0,original
2015-12-08,0.0,original
2015-12-15,0.0,original
2015-12-22,0.0,original
2015-12-29,0.0,original
2016-01-05,0.0,original
2016-01-12,0.0,original
2016-01-19,0.0,original
2016-01-26,0.0,original
2016-02-02,0.0,original
2016-02-09,0.0,original
2016-02-16,14.39,original
2016-02-23,6.150000000000006,original
2016-03-01,38.04,original
2016-03-08,66.86,original
2016-03-15,6.599999999999994,original
2016-03-22,4.969999999999999,original
2016-03-29,4.969999999999999,original
2016-04-05,4.969999999999999,original
2016-04-12,10.599999999999994,original
2016-04-19,0.0,original
2016-04-26,0.0,original
2016-05-03,0.0,original
2016-05-10,0.0,original
2016-05-17,0.0,original
2016-05-24,15.060000000000002,original
2016-05-31,15.060000000000002,original
2016-06-07,15.060000000000002,original
2016-06-14,10.760000000000005,original
2016-06-21,10.920000000000002,original
2016-06-28,11.829999999999998,original
2016-07-05,13.590000000000003,original
2016-07-12,30.569999999999993,original
2016-07-19,31.510000000000005,original
2016-07-26,34.58,original
2016-08-02,25.290000000000006,original
2016-08-09,18.47,original
2016-08-16,4.170000000000002,original
2016-08-23,0.0,original
2016-08-30,0.0,original
2016-09-06,0.0,original
2016-09-13,0.0,original
2016-09-20,0.0,original
2016-09-27,22.700000000000003,original
2016-10-04,42.05,original
2016-10-11,60.12,original
2016-10-18,94.31,original
2016-10-25,100.0,original
2016-11-01,100.0,original
2016-11-08,100.0,original
2016-11-15,100.0,original
2016-11-22,100.0,original
2016-11-29,100.0,original
2016-12-06,99.07,original
2016-12-13,98.6,original
2016-12-20,93.01,original
2016-12-27,93.01,original
2017-01-03,41.37,original
2017-01-10,39.35,original
2017-01-17,39.73,original
2017-01-24,8.120000000000005,original
2017-01-31,10.299999999999997,original
2017-02-07,15.64,original
2017-02-14,15.969999999999999,original
2017-02-21,15.909999999999997,original
2017-02-28,31.489999999999995,original
2017-03-07,66.96000000000001,original
2017-03-14,69.56,original
2017-03-21,84.19,original
2017-03-28,78.3,original
2017-04-04,77.22,original
2017-04-11,57.27,original
2017-04-18,57.27,original
2017-04-25,57.07,original
2017-05-02,30.86,original
2017-05-09,11.760000000000005,original
2017-05-16,10.739999999999995,original
2017-05-23,4.930000000000007,original
2017-05-30,4.040000000000006,original
2017-06-06,2.239999999999995,original
2017-06-13,2.239999999999995,original
2017-06-20,2.239999999999995,original
2017-06-27,0.0,original
2017-07-04,0.0,original
2017-07-11,0.0,original
2017-07-18,0.0,original
2017-07-25,0.0,original
2017-08-01,0.35999999999999943,original
2017-08-08,0.35999999999999943,original
2017-08-15,0.0,original
2017-08-22,0.0,original
2017-08-29,0.0,original
2017-09-05,0.0,original
2017-09-12,0.0,original
2017-09-19,3.049999999999997,original
2017-09-26,3.049999999999997,original
2017-10-03,20.260000000000005,original
2017-10-10,23.92,original
2017-10-17,38.23,original
2017-10-24,35.760000000000005,original
2017-10-31,37.17,original
2017-11-07,27.58,original
2017-11-14,44.94,original
2017-11-21,62.39,original
2017-11-28,80.46000000000001,original
2017-12-05,80.47,original
2017-12-12,66.14,original
2017-12-19,59.53,original
2017-12-26,61.33,original
2018-01-02,62.53,original
2018-01-09,62.53,original
2018-01-16,62.51,original
2018-01-23,62.51,original
2018-01-30,60.41,original
2018-02-06,60.44,original
2018-02-13,45.89,original
2018-02-20,48.8,original
2018-02-27,11.590000000000003,original
2018-03-06,8.400000000000006,original
2018-03-13,8.400000000000006,original
2018-03-20,10.989999999999995,original
2018-03-27,10.989999999999995,original
2018-04-03,9.599999999999994,original
2018-04-10,9.599999999999994,original
2018-04-17,1.480000000000004,original
2018-04-24,1.7399999999999949,original
2018-05-01,1.7399999999999949,original
2018-05-08,2.969999999999999,original
2018-05-15,24.700000000000003,original
2018-05-22,43.52,original
2018-05-29,48.78,original
2018-06-05,94.6,original
2018-06-12,97.27,original
2018-06-19,58.85,original
2018-06-26,97.74,original
2018-07-03,97.7,original
2018-07-10,83.5,original
2018-07-17,82.33,original
2018-07-24,82.33,original
2018-07-31,82.6,original
2018-08-07,78.98,original
2018-08-14,75.9,original
2018-08-21,72.51,original
2018-08-28,71.28999999999999,original
2018-09-04,48.69,original
2018-09-11,33.66,original
2018-09-18,30.25,original
2018-09-25,17.86,original
2018-10-02,11.0,original
2018-10-09,11.0,original
2018-10-16,6.829999999999998,original
2018-10-23,3.4399999999999977,original
2018-10-30,3.4399999999999977,original
2018-11-06,0.04000000000000625,original
2018-11-13,0.0,original
2018-11-20,0.0,original
2018-11-27,0.0,original
2018-12-04,0.0,original
2018-12-11,0.0,original
2018-12-18,0.0,original
2018-12-25,0.0,original
2019-01-01,0.0,original
2019-01-08,0.0,original
2019-01-15,0.0,original
2019-01-22,0.0,original
2019-01-29,0.0,original
2019-02-05,0.0,original
2019-02-12,15.430000000000007,original
2019-02-19,21.980000000000004,original
2019-02-26,14.180000000000007,original
2019-03-05,0.0,original
2019-03-12,0.0,original
2019-03-19,6.959999999999994,original
2019-03-26,42.94,original
2019-04-02,66.96000000000001,original
2019-04-09,33.55,original
2019-04-16,18.819999999999993,original
2019-04-23,4.260000000000005,original
2019-04-30,3.1400000000000006,original
2019-05-07,1.5999999999999943,original
2019-05-14,0.0,original
2019-05-21,0.0,original
2019-05-28,0.0,original
2019-06-04,0.0,original
2019-06-11,0.0,original
2019-06-18,0.0,original
2019-06-25,6.329999999999998,original
2019-07-02,6.200000000000003,original
2019-07-09,12.840000000000003,original
2019-07-16,0.0,original
2019-07-23,0.0,original
2019-07-30,0.0,original
2019-08-06,2.480000000000004,original
2019-08-13,5.359999999999999,original
2019-08-20,8.569999999999993,original
2019-08-27,21.040000000000006,original
2019-09-03,17.200000000000003,original
2019-09-10,23.370000000000005,original
2019-09-17,35.769999999999996,original
2019-09-24,36.19,original
2019-10-01,42.12,original
2019-10-08,64.17,original
2019-10-15,58.53,original
2019-10-22,51.82,original
2019-10-29,19.450000000000003,original
2019-11-05,11.370000000000005,original
2019-11-12,11.370000000000005,original
2019-11-19,15.629999999999995,original
2019-11-26,15.629999999999995,original
2019-12-03,31.700000000000003,original
2019-12-10,43.61,original
2019-12-17,43.74,original
2019-12-24,43.74,original
2019-12-31,43.74,original
2020-01-07,26.959999999999994,original
2020-01-14,19.89,original
2020-01-21,33.31999999999999,original
2020-01-28,34.730000000000004,original
2020-02-04,40.41,original
2020-02-11,33.099999999999994,original
2020-02-18,23.39,original
2020-02-25,7.689999999999998,original
2020-03-03,7.689999999999998,original
2020-03-10,21.5,original
2020-03-17,25.409999999999997,original
2020-03-24,26.159999999999997,original
2020-03-31,38.29,original
2020-04-07,50.44,original
2020-04-14,53.97,original
2020-04-21,52.4,original
2020-04-28,52.91,original
2020-05-05,31.590000000000003,original
2020-05-12,23.58,original
2020-05-19,14.189999999999998,original
2020-05-26,12.329999999999998,original
2020-06-02,12.329999999999998,original
2020-06-09,0.01999999999999602,original
2020-06-16,2.5400000000000063,original
2020-06-23,1.9200000000000017,original
2020-06-30,2.280000000000001,original
2020-07-07,1.9500000000000028,original
2020-07-14,4.829999999999998,original
2020-07-21,16.340000000000003,original
2020-07-28,9.480000000000004,original
2020-08-04,4.079999999999998,original
2020-08-11,8.599999999999994,original
2020-08-18,4.359999999999999,original
2020-08-25,4.359999999999999,original
2020-09-01,1.3900000000000006,original
2020-09-08,1.3900000000000006,original
2020-09-15,4.510000000000005,original
2020-09-22,2.799999999999997,original
2020-09-29,1.7000000000000028,original
