ValidStart,value,type
2020-06-02,5.499858764538735,pre
2020-06-09,34.932834157271756,pre
2020-06-16,65.4217613151464,pre
2020-06-23,67.75531873642043,pre
2020-06-30,66.72528828801718,pre
2020-07-07,59.06530420133862,pre
2020-07-14,66.42846657906608,pre
2020-07-21,64.6679598947184,pre
2020-07-28,62.92912612995599,pre
2020-08-04,75.14772380353692,pre
2020-08-11,77.35976066861197,pre
2020-08-18,79.10315391688489,pre
2020-08-25,78.68636425903605,pre
2020-09-01,77.16833391056699,pre
2020-09-08,76.34542646520248,pre
2020-09-15,78.70174216683456,pre
2020-09-22,82.40550288335962,pre
2020-09-29,84.99847099014413,pre
2020-06-02,-6.917486507590512,pre_lowerbound
2020-06-09,22.11975877826878,pre_lowerbound
2020-06-16,52.67240836449211,pre_lowerbound
2020-06-23,56.00548254651232,pre_lowerbound
2020-06-30,54.93751608691241,pre_lowerbound
2020-07-07,46.300635524721095,pre_lowerbound
2020-07-14,54.38693134851714,pre_lowerbound
2020-07-21,51.798910508281956,pre_lowerbound
2020-07-28,50.44330638141305,pre_lowerbound
2020-08-04,62.43930183700668,pre_lowerbound
2020-08-11,65.02197488188361,pre_lowerbound
2020-08-18,66.3169562878244,pre_lowerbound
2020-08-25,66.33344154915774,pre_lowerbound
2020-09-01,64.34804492220701,pre_lowerbound
2020-09-08,64.49811425871232,pre_lowerbound
2020-09-15,66.89197374490726,pre_lowerbound
2020-09-22,69.78169384385183,pre_lowerbound
2020-09-29,72.90251994698103,pre_lowerbound
2020-06-02,17.494502113340015,pre_upperbound
2020-06-09,47.31716406253696,pre_upperbound
2020-06-16,78.53219070122347,pre_upperbound
2020-06-23,80.06197331245059,pre_upperbound
2020-06-30,79.58626807344304,pre_upperbound
2020-07-07,71.59055855772974,pre_upperbound
2020-07-14,78.41408604764376,pre_upperbound
2020-07-21,75.8835335506562,pre_upperbound
2020-07-28,74.93819064169519,pre_upperbound
2020-08-04,86.8575724982609,pre_upperbound
2020-08-11,89.75008128733896,pre_upperbound
2020-08-18,91.59493434176767,pre_upperbound
2020-08-25,90.36834750575395,pre_upperbound
2020-09-01,89.99180523215469,pre_upperbound
2020-09-08,88.46267983344916,pre_upperbound
2020-09-15,91.46908641116603,pre_upperbound
2020-09-22,95.75748311719298,pre_upperbound
2020-09-29,96.87483403502695,pre_upperbound
2015-09-15,65.19,original
2015-09-22,85.48,original
2015-09-29,87.1,original
2015-10-06,77.66,original
2015-10-13,77.66,original
2015-10-20,77.66,original
2015-10-27,77.66,original
2015-11-03,77.66,original
2015-11-10,77.66,original
2015-11-17,77.66,original
2015-11-24,70.76,original
2015-12-01,70.76,original
2015-12-08,70.76,original
2015-12-15,77.15,original
2015-12-22,77.15,original
2015-12-29,77.15,original
2016-01-05,77.15,original
2016-01-12,77.69,original
2016-01-19,77.69,original
2016-01-26,65.07,original
2016-02-02,64.92,original
2016-02-09,64.92,original
2016-02-16,64.92,original
2016-02-23,56.59,original
2016-03-01,20.61,original
2016-03-08,20.61,original
2016-03-15,20.61,original
2016-03-22,19.700000000000003,original
2016-03-29,19.700000000000003,original
2016-04-05,19.700000000000003,original
2016-04-12,19.700000000000003,original
2016-04-19,19.700000000000003,original
2016-04-26,19.700000000000003,original
2016-05-03,19.700000000000003,original
2016-05-10,37.76,original
2016-05-17,42.86,original
2016-05-24,42.86,original
2016-05-31,42.86,original
2016-06-07,60.89,original
2016-06-14,79.91,original
2016-06-21,93.7,original
2016-06-28,96.4,original
2016-07-05,99.3,original
2016-07-12,99.3,original
2016-07-19,99.3,original
2016-07-26,99.3,original
2016-08-02,99.3,original
2016-08-09,99.3,original
2016-08-16,99.3,original
2016-08-23,100.0,original
2016-08-30,100.0,original
2016-09-06,100.0,original
2016-09-13,100.0,original
2016-09-20,100.0,original
2016-09-27,100.0,original
2016-10-04,100.0,original
2016-10-11,100.0,original
2016-10-18,100.0,original
2016-10-25,99.3,original
2016-11-01,99.3,original
2016-11-08,99.3,original
2016-11-15,99.3,original
2016-11-22,99.3,original
2016-11-29,99.3,original
2016-12-06,100.0,original
2016-12-13,99.3,original
2016-12-20,99.3,original
2016-12-27,99.3,original
2017-01-03,99.3,original
2017-01-10,99.3,original
2017-01-17,99.3,original
2017-01-24,99.3,original
2017-01-31,99.3,original
2017-02-07,99.3,original
2017-02-14,99.3,original
2017-02-21,99.3,original
2017-02-28,99.3,original
2017-03-07,99.3,original
2017-03-14,99.3,original
2017-03-21,98.66,original
2017-03-28,98.66,original
2017-04-04,66.81,original
2017-04-11,48.14,original
2017-04-18,48.14,original
2017-04-25,26.39,original
2017-05-02,22.760000000000005,original
2017-05-09,0.010000000000005116,original
2017-05-16,0.0,original
2017-05-23,0.0,original
2017-05-30,0.0,original
2017-06-06,0.0,original
2017-06-13,0.0,original
2017-06-20,0.0,original
2017-06-27,0.0,original
2017-07-04,0.0,original
2017-07-11,0.0,original
2017-07-18,0.6800000000000068,original
2017-07-25,0.6800000000000068,original
2017-08-01,0.6800000000000068,original
2017-08-08,2.1099999999999994,original
2017-08-15,14.120000000000005,original
2017-08-22,14.120000000000005,original
2017-08-29,20.53,original
2017-09-05,19.83,original
2017-09-12,19.83,original
2017-09-19,19.83,original
2017-09-26,45.62,original
2017-10-03,90.13,original
2017-10-10,90.13,original
2017-10-17,90.13,original
2017-10-24,92.12,original
2017-10-31,10.349999999999994,original
2017-11-07,10.349999999999994,original
2017-11-14,10.349999999999994,original
2017-11-21,10.349999999999994,original
2017-11-28,0.0,original
2017-12-05,2.799999999999997,original
2017-12-12,2.799999999999997,original
2017-12-19,2.799999999999997,original
2017-12-26,2.75,original
2018-01-02,2.75,original
2018-01-09,2.75,original
2018-01-16,2.780000000000001,original
2018-01-23,2.769999999999996,original
2018-01-30,2.769999999999996,original
2018-02-06,0.0,original
2018-02-13,0.0,original
2018-02-20,0.0,original
2018-02-27,0.0,original
2018-03-06,0.0,original
2018-03-13,0.0,original
2018-03-20,0.0,original
2018-03-27,0.0,original
2018-04-03,0.0,original
2018-04-10,0.0,original
2018-04-17,0.0,original
2018-04-24,0.0,original
2018-05-01,0.0,original
2018-05-08,0.0,original
2018-05-15,0.0,original
2018-05-22,0.5499999999999972,original
2018-05-29,0.5499999999999972,original
2018-06-05,27.459999999999994,original
2018-06-12,27.459999999999994,original
2018-06-19,73.06,original
2018-06-26,73.06,original
2018-07-03,73.06,original
2018-07-10,84.84,original
2018-07-17,84.84,original
2018-07-24,63.89,original
2018-07-31,20.64,original
2018-08-07,20.64,original
2018-08-14,20.64,original
2018-08-21,20.64,original
2018-08-28,12.450000000000003,original
2018-09-04,19.39,original
2018-09-11,19.39,original
2018-09-18,19.39,original
2018-09-25,6.3700000000000045,original
2018-10-02,2.4099999999999966,original
2018-10-09,2.4099999999999966,original
2018-10-16,2.4099999999999966,original
2018-10-23,2.4099999999999966,original
2018-10-30,0.0,original
2018-11-06,0.0,original
2018-11-13,0.0,original
2018-11-20,0.0,original
2018-11-27,0.0,original
2018-12-04,0.0,original
2018-12-11,0.0,original
2018-12-18,0.0,original
2018-12-25,0.0,original
2019-01-01,0.0,original
2019-01-08,0.0,original
2019-01-15,0.0,original
2019-01-22,0.0,original
2019-01-29,0.0,original
2019-02-05,0.0,original
2019-02-12,0.0,original
2019-02-19,0.0,original
2019-02-26,0.0,original
2019-03-05,0.0,original
2019-03-12,0.0,original
2019-03-19,0.0,original
2019-03-26,0.0,original
2019-04-02,0.0,original
2019-04-09,0.0,original
2019-04-16,0.0,original
2019-04-23,0.0,original
2019-04-30,0.0,original
2019-05-07,0.0,original
2019-05-14,0.0,original
2019-05-21,0.0,original
2019-05-28,0.0,original
2019-06-04,0.0,original
2019-06-11,0.0,original
2019-06-18,0.0,original
2019-06-25,0.0,original
2019-07-02,0.0,original
2019-07-09,0.0,original
2019-07-16,11.980000000000004,original
2019-07-23,0.0,original
2019-07-30,0.0,original
2019-08-06,3.3299999999999983,original
2019-08-13,3.3299999999999983,original
2019-08-20,3.3299999999999983,original
2019-08-27,3.3299999999999983,original
2019-09-03,0.0,original
2019-09-10,0.0,original
2019-09-17,6.6200000000000045,original
2019-09-24,51.73,original
2019-10-01,56.77,original
2019-10-08,56.85,original
2019-10-15,84.73,original
2019-10-22,44.64,original
2019-10-29,44.64,original
2019-11-05,0.0,original
2019-11-12,0.0,original
2019-11-19,0.0,original
2019-11-26,0.0,original
2019-12-03,0.0,original
2019-12-10,0.0,original
2019-12-17,0.0,original
2019-12-24,0.0,original
2019-12-31,0.0,original
2020-01-07,0.0,original
2020-01-14,0.0,original
2020-01-21,0.0,original
2020-01-28,0.0,original
2020-02-04,0.0,original
2020-02-11,0.0,original
2020-02-18,0.0,original
2020-02-25,0.0,original
2020-03-03,0.0,original
2020-03-10,0.0,original
2020-03-17,25.939999999999998,original
2020-03-24,25.939999999999998,original
2020-03-31,0.0,original
2020-04-07,0.0,original
2020-04-14,0.0,original
2020-04-21,0.0,original
2020-04-28,0.0,original
2020-05-05,0.0,original
2020-05-12,0.0,original
2020-05-19,0.0,original
2020-05-26,0.0,original
2020-06-02,34.349999999999994,original
2020-06-09,73.38,original
2020-06-16,78.23,original
2020-06-23,78.23,original
2020-06-30,70.63,original
2020-07-07,83.4,original
2020-07-14,85.67,original
2020-07-21,85.67,original
2020-07-28,100.0,original
2020-08-04,100.0,original
2020-08-11,100.0,original
2020-08-18,100.0,original
2020-08-25,100.0,original
2020-09-01,99.24,original
2020-09-08,99.24,original
2020-09-15,99.24,original
2020-09-22,99.61,original
2020-09-29,100.0,original
