ValidStart,value,type
2020-06-02,6.564896133048142,pre
2020-06-09,10.77583229815752,pre
2020-06-16,48.602038893199406,pre
2020-06-23,64.45063536223327,pre
2020-06-30,76.78815941922709,pre
2020-07-07,73.29650334220551,pre
2020-07-14,69.38164696960874,pre
2020-07-21,72.15259568366328,pre
2020-07-28,74.83277565397947,pre
2020-08-04,71.70956945486154,pre
2020-08-11,68.2644806096803,pre
2020-08-18,68.98684279442963,pre
2020-08-25,70.02053328722153,pre
2020-09-01,76.86039557235102,pre
2020-09-08,76.12697729513997,pre
2020-09-15,74.71193344350408,pre
2020-09-22,75.59143612787719,pre
2020-09-29,79.09206960431395,pre
2020-06-02,-3.529410909273458,pre_lowerbound
2020-06-09,1.2306153771165207,pre_lowerbound
2020-06-16,39.53762517129349,pre_lowerbound
2020-06-23,54.76227071752079,pre_lowerbound
2020-06-30,66.68209859893629,pre_lowerbound
2020-07-07,64.37349868553854,pre_lowerbound
2020-07-14,59.29649161221562,pre_lowerbound
2020-07-21,63.147612983469685,pre_lowerbound
2020-07-28,65.43311992331869,pre_lowerbound
2020-08-04,62.56745072358661,pre_lowerbound
2020-08-11,59.086836013768924,pre_lowerbound
2020-08-18,59.19738184791732,pre_lowerbound
2020-08-25,61.02634481167841,pre_lowerbound
2020-09-01,67.20592371078719,pre_lowerbound
2020-09-08,66.6236747381415,pre_lowerbound
2020-09-15,64.76005657503643,pre_lowerbound
2020-09-22,65.86689249952991,pre_lowerbound
2020-09-29,69.43650515391039,pre_lowerbound
2020-06-02,16.129064289222406,pre_upperbound
2020-06-09,20.27798363794928,pre_upperbound
2020-06-16,57.812493935381994,pre_upperbound
2020-06-23,73.75676052214685,pre_upperbound
2020-06-30,86.6295533598266,pre_upperbound
2020-07-07,83.42377623865877,pre_upperbound
2020-07-14,78.7579058274733,pre_upperbound
2020-07-21,81.18933185538195,pre_upperbound
2020-07-28,85.2831042864725,pre_upperbound
2020-08-04,80.62557482454942,pre_upperbound
2020-08-11,78.12470817708716,pre_upperbound
2020-08-18,78.56801288582167,pre_upperbound
2020-08-25,80.0019282384061,pre_upperbound
2020-09-01,87.1119849641942,pre_upperbound
2020-09-08,85.3672318712326,pre_upperbound
2020-09-15,84.17934944189946,pre_upperbound
2020-09-22,85.09032158153771,pre_upperbound
2020-09-29,89.14818811713002,pre_upperbound
2015-09-15,23.540000000000006,original
2015-09-22,26.269999999999996,original
2015-09-29,26.269999999999996,original
2015-10-06,7.290000000000006,original
2015-10-13,7.290000000000006,original
2015-10-20,7.290000000000006,original
2015-10-27,7.290000000000006,original
2015-11-03,7.290000000000006,original
2015-11-10,7.290000000000006,original
2015-11-17,20.129999999999995,original
2015-11-24,20.129999999999995,original
2015-12-01,20.129999999999995,original
2015-12-08,20.129999999999995,original
2015-12-15,20.129999999999995,original
2015-12-22,20.129999999999995,original
2015-12-29,20.129999999999995,original
2016-01-05,20.129999999999995,original
2016-01-12,20.590000000000003,original
2016-01-19,20.590000000000003,original
2016-01-26,20.590000000000003,original
2016-02-02,21.209999999999994,original
2016-02-09,21.700000000000003,original
2016-02-16,21.700000000000003,original
2016-02-23,12.670000000000002,original
2016-03-01,0.7000000000000028,original
2016-03-08,0.7000000000000028,original
2016-03-15,0.7000000000000028,original
2016-03-22,0.3499999999999943,original
