ValidStart,value,type
2020-06-02,4.2140949057548,pre
2020-06-09,8.617549274672738,pre
2020-06-16,7.248961256466879,pre
2020-06-23,5.925453482616814,pre
2020-06-30,12.21415410147059,pre
2020-07-07,9.955800076952757,pre
2020-07-14,13.48484911349527,pre
2020-07-21,65.6639571606737,pre
2020-07-28,34.76609534455459,pre
2020-08-04,31.65826915753655,pre
2020-08-11,7.6661181768307625,pre
2020-08-18,10.882337227961875,pre
2020-08-25,14.292692577547012,pre
2020-09-01,24.211341346744863,pre
2020-09-08,26.330114359611205,pre
2020-09-15,25.599949039309084,pre
2020-09-22,23.99501200656175,pre
2020-09-29,27.36231453487113,pre
2020-06-02,-8.562283170623125,pre_lowerbound
2020-06-09,-3.2533727782808257,pre_lowerbound
2020-06-16,-5.303185935024017,pre_lowerbound
2020-06-23,-6.2056970964081835,pre_lowerbound
2020-06-30,0.9862393719775798,pre_lowerbound
2020-07-07,-1.7824558587673223,pre_lowerbound
2020-07-14,1.6865735187854096,pre_lowerbound
2020-07-21,53.74044296966097,pre_lowerbound
2020-07-28,22.05862771791865,pre_lowerbound
2020-08-04,18.965422495969637,pre_lowerbound
2020-08-11,-4.956264635590673,pre_lowerbound
2020-08-18,-1.9103604994244623,pre_lowerbound
2020-08-25,1.9306527286923778,pre_lowerbound
2020-09-01,12.630931828440314,pre_lowerbound
2020-09-08,13.92271931302479,pre_lowerbound
2020-09-15,13.929698547344191,pre_lowerbound
2020-09-22,10.827341268865947,pre_lowerbound
2020-09-29,14.822062373591477,pre_lowerbound
2020-06-02,16.112493818601003,pre_upperbound
2020-06-09,20.61035097527063,pre_upperbound
2020-06-16,19.34668483302149,pre_upperbound
2020-06-23,18.783004073208478,pre_upperbound
2020-06-30,24.309798655551873,pre_upperbound
2020-07-07,22.20091838652316,pre_upperbound
2020-07-14,24.773380294859297,pre_upperbound
2020-07-21,76.99348638951095,pre_upperbound
2020-07-28,47.38521200632593,pre_upperbound
2020-08-04,44.364232609392815,pre_upperbound
2020-08-11,19.62124252904156,pre_upperbound
2020-08-18,23.29520257583528,pre_upperbound
2020-08-25,26.40856435828631,pre_upperbound
2020-09-01,36.418999841495776,pre_upperbound
2020-09-08,38.6272388918667,pre_upperbound
2020-09-15,37.73814807427885,pre_upperbound
2020-09-22,36.62458190847409,pre_upperbound
2020-09-29,39.60982463474124,pre_upperbound
2015-09-15,2.549999999999997,original
2015-09-22,15.810000000000002,original
2015-09-29,30.909999999999997,original
2015-10-06,50.52,original
2015-10-13,65.50999999999999,original
2015-10-20,70.26,original
