ValidStart,value,type
2020-06-02,11.958171438856429,pre
2020-06-09,10.766314266654877,pre
2020-06-16,6.4461748215223444,pre
2020-06-23,3.7553633133229964,pre
2020-06-30,4.044363683470717,pre
2020-07-07,4.195805163030141,pre
2020-07-14,2.3710009329167203,pre
2020-07-21,2.1073784624290184,pre
2020-07-28,1.906551473378775,pre
2020-08-04,14.804869904507242,pre
2020-08-11,14.402803946006612,pre
2020-08-18,24.95243097039322,pre
2020-08-25,19.14160037054047,pre
2020-09-01,19.921674420565214,pre
2020-09-08,11.685205221834206,pre
2020-09-15,35.53413643359992,pre
2020-09-22,38.09270904559787,pre
2020-09-29,43.73688282565283,pre
2020-06-02,0.027604143450725833,pre_lowerbound
2020-06-09,-0.5872109319097257,pre_lowerbound
2020-06-16,-6.165560320855136,pre_lowerbound
2020-06-23,-7.759823984314406,pre_lowerbound
2020-06-30,-8.37188852828253,pre_lowerbound
2020-07-07,-8.46994644771026,pre_lowerbound
2020-07-14,-10.081935690400304,pre_lowerbound
2020-07-21,-9.583322574101668,pre_lowerbound
2020-07-28,-10.010021544906854,pre_lowerbound
2020-08-04,1.9836110685562949,pre_lowerbound
2020-08-11,2.323385333606358,pre_lowerbound
2020-08-18,12.667184309185318,pre_lowerbound
2020-08-25,7.398899215938052,pre_lowerbound
2020-09-01,7.835018557862939,pre_lowerbound
2020-09-08,0.5134647575690512,pre_lowerbound
2020-09-15,23.39898065404151,pre_lowerbound
2020-09-22,26.0048849966793,pre_lowerbound
2020-09-29,31.603855122920507,pre_lowerbound
2020-06-02,24.5865856905338,pre_upperbound
2020-06-09,22.82141605260792,pre_upperbound
2020-06-16,18.409596807220876,pre_upperbound
2020-06-23,15.725457923545633,pre_upperbound
2020-06-30,16.21861902902369,pre_upperbound
2020-07-07,15.879137370198208,pre_upperbound
2020-07-14,14.711840192353305,pre_upperbound
2020-07-21,14.799172169411953,pre_upperbound
2020-07-28,13.889261090568588,pre_upperbound
2020-08-04,27.21500271171483,pre_upperbound
2020-08-11,26.870196947562082,pre_upperbound
2020-08-18,37.63627222851132,pre_upperbound
2020-08-25,31.12220974870607,pre_upperbound
2020-09-01,31.87968140508771,pre_upperbound
2020-09-08,24.305021357464526,pre_upperbound
2020-09-15,47.335604993835645,pre_upperbound
2020-09-22,50.4079300404117,pre_upperbound
2020-09-29,55.4504695871779,pre_upperbound
2015-09-15,73.75,original
2015-09-22,77.21000000000001,original
2015-09-29,81.8,original
2015-10-06,82.32,original
2015-10-13,82.9,original
2015-10-20,99.45,original
2015-10-27,57.02,original
2015-11-03,51.31,original
2015-11-10,33.040000000000006,original
2015-11-17,33.040000000000006,original
2015-11-24,2.1400000000000006,original
2015-12-01,0.0,original
2015-12-08,0.0,original
2015-12-15,0.0,original
2015-12-22,0.0,original
2015-12-29,0.0,original
2016-01-05,0.0,original
2016-01-12,0.0,original
2016-01-19,0.0,original
2016-01-26,0.0,original
2016-02-02,0.0,original
2016-02-09,0.0,original
2016-02-16,0.0,original
2016-02-23,0.0,original
2016-03-01,3.760000000000005,original
2016-03-08,22.989999999999995,original
2016-03-15,0.0,original
2016-03-22,0.0,original
2016-03-29,0.0,original
2016-04-05,0.0,original
2016-04-12,0.0,original
2016-04-19,0.0,original
2016-04-26,0.0,original
2016-05-03,0.0,original
2016-05-10,0.0,original
2016-05-17,1.6700000000000017,original
2016-05-24,67.00999999999999,original
2016-05-31,67.00999999999999,original
2016-06-07,67.00999999999999,original
2016-06-14,68.33,original
2016-06-21,73.92,original
2016-06-28,75.86,original
2016-07-05,80.4,original
2016-07-12,78.44,original
2016-07-19,82.1,original
2016-07-26,79.61,original
2016-08-02,72.13,original
2016-08-09,68.61,original
2016-08-16,49.69,original
2016-08-23,42.93,original
