ValidStart,value,type
2020-06-02,34.93355613234696,pre
2020-06-09,42.86150210900369,pre
2020-06-16,49.50523724089507,pre
2020-06-23,54.42047515042756,pre
2020-06-30,50.30144045458249,pre
2020-07-07,48.758698153559514,pre
2020-07-14,45.17295258893613,pre
2020-07-21,38.16083153384518,pre
2020-07-28,38.506860642591086,pre
2020-08-04,40.60604306987967,pre
2020-08-11,41.95568208355071,pre
2020-08-18,40.174223712655056,pre
2020-08-25,49.331564886155434,pre
2020-09-01,59.07533258898798,pre
2020-09-08,66.8646890109929,pre
2020-09-15,67.37056452741459,pre
2020-09-22,73.18026216417572,pre
2020-09-29,71.84065739457125,pre
2020-06-02,28.724808025124982,pre_lowerbound
2020-06-09,37.26053508616492,pre_lowerbound
2020-06-16,43.56900040974961,pre_lowerbound
2020-06-23,48.741844116854864,pre_lowerbound
2020-06-30,44.1011948508529,pre_lowerbound
2020-07-07,42.87964610596272,pre_lowerbound
2020-07-14,39.26744211595554,pre_lowerbound
2020-07-21,32.096534849349,pre_lowerbound
2020-07-28,32.748875083388896,pre_lowerbound
2020-08-04,34.263250117302036,pre_lowerbound
2020-08-11,35.25294346186993,pre_lowerbound
2020-08-18,34.70062338946436,pre_lowerbound
2020-08-25,43.546886595051255,pre_lowerbound
2020-09-01,53.20434908742802,pre_lowerbound
2020-09-08,60.89739144889926,pre_lowerbound
2020-09-15,61.11844661092354,pre_lowerbound
2020-09-22,67.19609935342177,pre_lowerbound
2020-09-29,65.90814014595601,pre_lowerbound
2020-06-02,41.20780518781038,pre_upperbound
2020-06-09,49.16251539298023,pre_upperbound
2020-06-16,55.496993476006296,pre_upperbound
2020-06-23,60.66787258401029,pre_upperbound
2020-06-30,56.73628180806015,pre_upperbound
2020-07-07,55.16047722625982,pre_upperbound
2020-07-14,51.37598321056556,pre_upperbound
2020-07-21,44.29570738867038,pre_upperbound
2020-07-28,45.126557306856704,pre_upperbound
2020-08-04,46.98871858172019,pre_upperbound
2020-08-11,47.90097547200027,pre_upperbound
2020-08-18,46.70422520405096,pre_upperbound
2020-08-25,55.726611760878114,pre_upperbound
2020-09-01,65.25815952486352,pre_upperbound
2020-09-08,72.88965840720469,pre_upperbound
2020-09-15,73.26900456086076,pre_upperbound
2020-09-22,78.80802719452984,pre_upperbound
2020-09-29,77.96583893441596,pre_upperbound
2015-09-15,71.78,original
2015-09-22,69.52,original
2015-09-29,69.45,original
2015-10-06,54.2,original
2015-10-13,54.2,original
2015-10-20,54.88,original
2015-10-27,54.88,original
2015-11-03,50.0,original
2015-11-10,50.0,original
2015-11-17,57.6,original
2015-11-24,57.6,original
2015-12-01,55.98,original
2015-12-08,55.98,original
2015-12-15,56.03,original
2015-12-22,51.45,original
2015-12-29,51.45,original
2016-01-05,53.68,original
2016-01-12,54.58,original
2016-01-19,52.08,original
2016-01-26,52.08,original
2016-02-02,52.28,original
2016-02-09,52.28,original
2016-02-16,52.4,original
2016-02-23,52.4,original
2016-03-01,57.06,original
2016-03-08,56.7,original
2016-03-15,55.54,original
2016-03-22,40.84,original
2016-03-29,40.84,original
2016-04-05,34.94,original
2016-04-12,34.83,original
2016-04-19,25.569999999999993,original
2016-04-26,21.870000000000005,original
2016-05-03,21.879999999999995,original
2016-05-10,21.879999999999995,original
2016-05-17,22.28,original
2016-05-24,22.28,original
2016-05-31,20.760000000000005,original
2016-06-07,22.590000000000003,original
2016-06-14,28.459999999999994,original
2016-06-21,28.900000000000006,original
2016-06-28,31.180000000000007,original
2016-07-05,31.189999999999998,original
2016-07-12,29.480000000000004,original
2016-07-19,39.67,original
2016-07-26,40.23,original
2016-08-02,40.23,original
2016-08-09,57.3,original
2016-08-16,57.3,original
2016-08-23,57.1,original
2016-08-30,57.0,original
2016-09-06,57.0,original
2016-09-13,45.39,original
2016-09-20,57.44,original
2016-09-27,44.86,original
2016-10-04,43.4,original
2016-10-11,28.319999999999993,original
2016-10-18,18.730000000000004,original
2016-10-25,18.730000000000004,original
2016-11-01,18.730000000000004,original
2016-11-08,16.370000000000005,original
2016-11-15,16.370000000000005,original
2016-11-22,16.379999999999995,original
2016-11-29,27.049999999999997,original
2016-12-06,27.680000000000007,original
2016-12-13,27.680000000000007,original
2016-12-20,25.819999999999993,original
2016-12-27,25.75,original
2017-01-03,25.75,original
2017-01-10,14.689999999999998,original
2017-01-17,14.689999999999998,original
2017-01-24,14.730000000000004,original
2017-01-31,14.730000000000004,original
2017-02-07,14.730000000000004,original
2017-02-14,17.739999999999995,original
2017-02-21,17.739999999999995,original
2017-02-28,15.86,original
2017-03-07,10.019999999999996,original
2017-03-14,13.290000000000006,original
2017-03-21,13.290000000000006,original
2017-03-28,13.290000000000006,original
2017-04-04,13.290000000000006,original
2017-04-11,12.430000000000007,original
2017-04-18,12.430000000000007,original
2017-04-25,12.430000000000007,original
2017-05-02,1.4899999999999949,original
2017-05-09,1.5499999999999972,original
2017-05-16,1.5499999999999972,original
2017-05-23,4.8799999999999955,original
2017-05-30,32.5,original
2017-06-06,36.69,original
2017-06-13,35.730000000000004,original
2017-06-20,43.69,original
2017-06-27,47.72,original
2017-07-04,47.72,original
2017-07-11,54.2,original
2017-07-18,65.41,original
2017-07-25,81.73,original
2017-08-01,85.59,original
2017-08-08,88.51,original
2017-08-15,97.23,original
2017-08-22,97.23,original
2017-08-29,99.97,original
2017-09-05,100.0,original
2017-09-12,100.0,original
2017-09-19,98.71,original
2017-09-26,93.52,original
2017-10-03,90.41,original
2017-10-10,90.41,original
2017-10-17,90.18,original
2017-10-24,83.66,original
2017-10-31,83.66,original
2017-11-07,75.7,original
2017-11-14,75.7,original
2017-11-21,75.68,original
2017-11-28,73.0,original
2017-12-05,71.53999999999999,original
2017-12-12,71.53999999999999,original
2017-12-19,71.53999999999999,original
2017-12-26,70.74,original
2018-01-02,52.53,original
2018-01-09,42.92,original
2018-01-16,42.91,original
2018-01-23,42.91,original
2018-01-30,42.91,original
2018-02-06,42.66,original
2018-02-13,39.45,original
2018-02-20,39.45,original
2018-02-27,32.06,original
2018-03-06,31.090000000000003,original
2018-03-13,23.89,original
2018-03-20,15.650000000000006,original
2018-03-27,15.620000000000005,original
2018-04-03,11.670000000000002,original
2018-04-10,11.670000000000002,original
2018-04-17,8.870000000000005,original
2018-04-24,8.870000000000005,original
2018-05-01,6.969999999999999,original
2018-05-08,6.969999999999999,original
2018-05-15,11.64,original
2018-05-22,8.870000000000005,original
2018-05-29,12.480000000000004,original
2018-06-05,11.950000000000003,original
2018-06-12,11.950000000000003,original
2018-06-19,16.28,original
2018-06-26,16.28,original
2018-07-03,15.549999999999997,original
2018-07-10,15.930000000000007,original
2018-07-17,16.0,original
2018-07-24,24.980000000000004,original
2018-07-31,25.519999999999996,original
2018-08-07,28.379999999999995,original
2018-08-14,58.28,original
2018-08-21,52.92,original
2018-08-28,53.61,original
2018-09-04,53.69,original
2018-09-11,53.69,original
2018-09-18,53.69,original
2018-09-25,53.72,original
2018-10-02,53.69,original
2018-10-09,31.61,original
2018-10-16,26.209999999999994,original
2018-10-23,26.209999999999994,original
2018-10-30,26.17,original
2018-11-06,18.28,original
2018-11-13,16.409999999999997,original
2018-11-20,9.659999999999997,original
2018-11-27,7.700000000000003,original
2018-12-04,7.6299999999999955,original
2018-12-11,7.290000000000006,original
2018-12-18,7.280000000000001,original
2018-12-25,7.280000000000001,original
2019-01-01,6.310000000000002,original
2019-01-08,6.310000000000002,original
2019-01-15,12.269999999999996,original
2019-01-22,12.269999999999996,original
2019-01-29,12.269999999999996,original
2019-02-05,14.569999999999993,original
2019-02-12,14.569999999999993,original
2019-02-19,10.459999999999994,original
2019-02-26,10.409999999999997,original
2019-03-05,9.400000000000006,original
2019-03-12,5.909999999999997,original
2019-03-19,5.909999999999997,original
2019-03-26,5.909999999999997,original
2019-04-02,6.209999999999994,original
2019-04-09,6.420000000000002,original
2019-04-16,6.1299999999999955,original
2019-04-23,9.670000000000002,original
2019-04-30,8.450000000000003,original
2019-05-07,5.359999999999999,original
2019-05-14,5.359999999999999,original
2019-05-21,5.359999999999999,original
2019-05-28,8.5,original
2019-06-04,9.019999999999996,original
2019-06-11,16.069999999999993,original
2019-06-18,20.340000000000003,original
2019-06-25,20.340000000000003,original
2019-07-02,12.280000000000001,original
2019-07-09,15.060000000000002,original
2019-07-16,15.060000000000002,original
2019-07-23,13.849999999999994,original
2019-07-30,13.849999999999994,original
2019-08-06,21.78,original
2019-08-13,15.519999999999996,original
2019-08-20,15.519999999999996,original
2019-08-27,15.519999999999996,original
2019-09-03,12.010000000000005,original
2019-09-10,5.170000000000002,original
2019-09-17,5.170000000000002,original
2019-09-24,2.6200000000000045,original
2019-10-01,2.6200000000000045,original
2019-10-08,0.09000000000000341,original
2019-10-15,0.09000000000000341,original
2019-10-22,0.09000000000000341,original
2019-10-29,0.0,original
2019-11-05,0.0,original
2019-11-12,0.0,original
2019-11-19,0.0,original
2019-11-26,0.0,original
2019-12-03,0.0,original
2019-12-10,4.689999999999998,original
2019-12-17,8.819999999999993,original
2019-12-24,8.819999999999993,original
2019-12-31,10.260000000000005,original
2020-01-07,11.650000000000006,original
2020-01-14,11.530000000000001,original
2020-01-21,8.14,original
2020-01-28,8.14,original
2020-02-04,3.5,original
2020-02-11,3.269999999999996,original
2020-02-18,4.590000000000003,original
2020-02-25,5.689999999999998,original
2020-03-03,10.650000000000006,original
2020-03-10,10.650000000000006,original
2020-03-17,10.650000000000006,original
2020-03-24,11.760000000000005,original
2020-03-31,11.760000000000005,original
2020-04-07,14.920000000000002,original
2020-04-14,18.64,original
2020-04-21,9.689999999999998,original
2020-04-28,9.689999999999998,original
2020-05-05,29.450000000000003,original
2020-05-12,32.81999999999999,original
2020-05-19,35.400000000000006,original
2020-05-26,32.709999999999994,original
2020-06-02,42.17,original
2020-06-09,50.19,original
2020-06-16,56.61,original
2020-06-23,52.26,original
2020-06-30,50.55,original
2020-07-07,45.18,original
2020-07-14,35.33,original
2020-07-21,34.260000000000005,original
2020-07-28,35.66,original
2020-08-04,37.85,original
2020-08-11,38.1,original
2020-08-18,51.65,original
2020-08-25,64.03999999999999,original
2020-09-01,72.73,original
2020-09-08,72.68,original
2020-09-15,80.26,original
2020-09-22,80.37,original
2020-09-29,88.14,original
