ValidStart,value,type
2020-06-02,1.6532912144899852,pre
2020-06-09,0.36277838686688446,pre
2020-06-16,0.8560535295143632,pre
2020-06-23,2.3811491249476338,pre
2020-06-30,2.9350501986155066,pre
2020-07-07,2.023939261938043,pre
2020-07-14,1.2626659660453252,pre
2020-07-21,2.092232274695129,pre
2020-07-28,3.64082280869917,pre
2020-08-04,14.429272771378415,pre
2020-08-11,-0.5970392037930351,pre
2020-08-18,-0.9736875920536218,pre
2020-08-25,-0.48661582785743257,pre
2020-09-01,3.0506919870236646,pre
2020-09-08,6.673576674340627,pre
2020-09-15,7.20447805346686,pre
2020-09-22,4.442520330745997,pre
2020-09-29,1.0973126450437705,pre
2020-06-02,-9.590782336688285,pre_lowerbound
2020-06-09,-11.422067086882766,pre_lowerbound
2020-06-16,-11.38764807060099,pre_lowerbound
2020-06-23,-8.452595021301079,pre_lowerbound
2020-06-30,-9.07480320086685,pre_lowerbound
2020-07-07,-10.183570591229756,pre_lowerbound
2020-07-14,-11.192375393581479,pre_lowerbound
2020-07-21,-9.802322331541436,pre_lowerbound
2020-07-28,-8.080132479282781,pre_lowerbound
2020-08-04,3.0515185256159962,pre_lowerbound
2020-08-11,-12.30731973752123,pre_lowerbound
2020-08-18,-12.80656472556116,pre_lowerbound
2020-08-25,-13.22066256311758,pre_lowerbound
2020-09-01,-9.423325959173262,pre_lowerbound
2020-09-08,-5.60755415088511,pre_lowerbound
2020-09-15,-5.1661199311613615,pre_lowerbound
2020-09-22,-7.499796081028629,pre_lowerbound
2020-09-29,-11.16149275812747,pre_lowerbound
2020-06-02,13.930711060435371,pre_upperbound
2020-06-09,12.244341563694947,pre_upperbound
2020-06-16,13.387491365685854,pre_upperbound
2020-06-23,14.853804518193755,pre_upperbound
2020-06-30,15.190363828606785,pre_upperbound
2020-07-07,14.528955084621954,pre_upperbound
2020-07-14,12.51701963227038,pre_upperbound
2020-07-21,15.05902098644308,pre_upperbound
2020-07-28,15.2687490723865,pre_upperbound
2020-08-04,25.765349536016696,pre_upperbound
2020-08-11,11.309400916845473,pre_upperbound
2020-08-18,11.792188031875478,pre_upperbound
2020-08-25,11.33600821411347,pre_upperbound
2020-09-01,15.218431603210886,pre_upperbound
2020-09-08,19.065617224021388,pre_upperbound
2020-09-15,19.638004797542923,pre_upperbound
2020-09-22,16.98492095392048,pre_upperbound
2020-09-29,12.94188289025144,pre_upperbound
2015-09-15,84.48,original
2015-09-22,84.64,original
2015-09-29,64.39,original
2015-10-06,0.0,original
2015-10-13,0.0,original
2015-10-20,0.0,original
2015-10-27,0.0,original
2015-11-03,0.0,original
2015-11-10,0.0,original
2015-11-17,0.0,original
2015-11-24,0.0,original
2015-12-01,0.0,original
2015-12-08,0.0,original
2015-12-15,0.0,original
2015-12-22,0.0,original
2015-12-29,0.0,original
2016-01-05,0.0,original
2016-01-12,0.0,original
2016-01-19,0.0,original
2016-01-26,0.0,original
2016-02-02,0.0,original
2016-02-09,0.0,original
2016-02-16,0.0,original
2016-02-23,0.0,original
2016-03-01,0.0,original
2016-03-08,0.0,original
2016-03-15,0.0,original
2016-03-22,0.0,original
2016-03-29,10.209999999999994,original
2016-04-05,35.68000000000001,original
2016-04-12,40.65,original
2016-04-19,84.47,original
2016-04-26,84.47,original
2016-05-03,74.02,original
2016-05-10,21.760000000000005,original
2016-05-17,21.760000000000005,original
2016-05-24,13.170000000000002,original
2016-05-31,13.939999999999998,original
2016-06-07,13.939999999999998,original
2016-06-14,18.459999999999994,original
2016-06-21,28.090000000000003,original
2016-06-28,27.439999999999998,original
2016-07-05,16.75,original
2016-07-12,16.33,original
2016-07-19,16.409999999999997,original
2016-07-26,16.53,original
2016-08-02,16.53,original
2016-08-09,11.14,original
2016-08-16,11.040000000000006,original
2016-08-23,13.430000000000007,original
2016-08-30,23.700000000000003,original
2016-09-06,12.680000000000007,original
2016-09-13,47.31,original
2016-09-20,47.23,original
2016-09-27,33.84,original
2016-10-04,22.090000000000003,original
2016-10-11,22.090000000000003,original
2016-10-18,22.049999999999997,original
2016-10-25,28.319999999999993,original
2016-11-01,28.319999999999993,original
2016-11-08,30.159999999999997,original
2016-11-15,41.24,original
2016-11-22,51.89,original
2016-11-29,51.89,original
2016-12-06,52.07,original
2016-12-13,52.07,original
2016-12-20,62.05,original
2016-12-27,62.05,original
2017-01-03,42.91,original
2017-01-10,41.0,original
2017-01-17,41.0,original
2017-01-24,27.239999999999995,original
2017-01-31,27.239999999999995,original
2017-02-07,27.239999999999995,original
2017-02-14,70.03,original
2017-02-21,71.36,original
2017-02-28,81.92,original
2017-03-07,83.7,original
2017-03-14,65.91,original
2017-03-21,66.37,original
2017-03-28,66.41,original
2017-04-04,56.52,original
2017-04-11,56.52,original
2017-04-18,56.52,original
2017-04-25,31.299999999999997,original
2017-05-02,4.920000000000002,original
2017-05-09,3.9000000000000057,original
2017-05-16,3.9000000000000057,original
2017-05-23,0.010000000000005116,original
2017-05-30,0.010000000000005116,original
2017-06-06,0.0,original
2017-06-13,0.0,original
2017-06-20,0.0,original
2017-06-27,0.0,original
2017-07-04,0.0,original
2017-07-11,0.0,original
2017-07-18,0.0,original
2017-07-25,2.6599999999999966,original
2017-08-01,35.28,original
2017-08-08,35.28,original
2017-08-15,27.810000000000002,original
2017-08-22,25.569999999999993,original
2017-08-29,25.689999999999998,original
2017-09-05,11.64,original
2017-09-12,11.64,original
2017-09-19,15.64,original
2017-09-26,15.730000000000004,original
2017-10-03,35.93000000000001,original
2017-10-10,42.46,original
2017-10-17,42.46,original
2017-10-24,44.35,original
2017-10-31,43.62,original
2017-11-07,46.0,original
2017-11-14,56.82,original
2017-11-21,60.13,original
2017-11-28,72.21000000000001,original
2017-12-05,72.25,original
2017-12-12,72.25,original
2017-12-19,75.37,original
2017-12-26,77.14,original
2018-01-02,84.33,original
2018-01-09,82.09,original
2018-01-16,78.43,original
2018-01-23,78.43,original
2018-01-30,61.35,original
2018-02-06,58.67,original
2018-02-13,36.45,original
2018-02-20,33.93000000000001,original
2018-02-27,33.93000000000001,original
2018-03-06,33.93000000000001,original
2018-03-13,29.799999999999997,original
2018-03-20,29.799999999999997,original
2018-03-27,30.53,original
2018-04-03,30.83,original
2018-04-10,28.89,original
2018-04-17,14.680000000000007,original
2018-04-24,11.579999999999998,original
2018-05-01,11.489999999999995,original
2018-05-08,11.489999999999995,original
2018-05-15,11.489999999999995,original
2018-05-22,3.1200000000000045,original
2018-05-29,2.9399999999999977,original
2018-06-05,0.0,original
2018-06-12,0.0,original
2018-06-19,0.0,original
2018-06-26,0.0,original
2018-07-03,6.579999999999998,original
2018-07-10,10.200000000000003,original
2018-07-17,18.260000000000005,original
2018-07-24,13.180000000000007,original
2018-07-31,8.780000000000001,original
2018-08-07,0.8799999999999955,original
2018-08-14,0.8799999999999955,original
2018-08-21,0.8799999999999955,original
2018-08-28,1.1099999999999994,original
2018-09-04,10.430000000000007,original
2018-09-11,10.430000000000007,original
2018-09-18,0.0,original
2018-09-25,0.0,original
2018-10-02,0.5,original
2018-10-09,0.5,original
2018-10-16,0.0,original
2018-10-23,0.0,original
2018-10-30,0.0,original
2018-11-06,0.0,original
2018-11-13,0.0,original
2018-11-20,0.0,original
2018-11-27,0.0,original
2018-12-04,0.0,original
2018-12-11,0.0,original
2018-12-18,0.0,original
2018-12-25,0.0,original
2019-01-01,0.0,original
2019-01-08,0.0,original
2019-01-15,0.0,original
2019-01-22,0.0,original
2019-01-29,0.0,original
2019-02-05,0.0,original
2019-02-12,0.0,original
2019-02-19,0.45999999999999375,original
2019-02-26,1.9500000000000028,original
2019-03-05,1.9500000000000028,original
2019-03-12,1.9500000000000028,original
2019-03-19,1.9500000000000028,original
2019-03-26,1.9500000000000028,original
2019-04-02,5.1299999999999955,original
2019-04-09,2.5400000000000063,original
2019-04-16,2.5400000000000063,original
2019-04-23,0.0,original
2019-04-30,0.0,original
2019-05-07,0.0,original
2019-05-14,7.489999999999995,original
2019-05-21,22.730000000000004,original
2019-05-28,40.54,original
2019-06-04,48.57,original
2019-06-11,30.39,original
2019-06-18,30.340000000000003,original
2019-06-25,30.39,original
2019-07-02,31.810000000000002,original
2019-07-09,32.43000000000001,original
2019-07-16,26.090000000000003,original
2019-07-23,36.71,original
2019-07-30,22.92,original
2019-08-06,22.92,original
2019-08-13,30.620000000000005,original
2019-08-20,28.099999999999994,original
2019-08-27,17.560000000000002,original
2019-09-03,18.010000000000005,original
2019-09-10,16.92,original
2019-09-17,43.42,original
2019-09-24,60.88,original
2019-10-01,62.32,original
2019-10-08,71.33,original
2019-10-15,75.23,original
2019-10-22,61.76,original
2019-10-29,62.01,original
2019-11-05,32.06,original
2019-11-12,28.549999999999997,original
2019-11-19,24.03,original
2019-11-26,17.650000000000006,original
2019-12-03,0.0,original
2019-12-10,0.0,original
2019-12-17,6.390000000000001,original
2019-12-24,6.390000000000001,original
2019-12-31,6.390000000000001,original
2020-01-07,6.390000000000001,original
2020-01-14,6.390000000000001,original
2020-01-21,18.310000000000002,original
2020-01-28,24.349999999999994,original
2020-02-04,22.189999999999998,original
2020-02-11,0.0,original
2020-02-18,0.0,original
2020-02-25,0.0,original
2020-03-03,0.0,original
2020-03-10,0.0,original
2020-03-17,0.0,original
2020-03-24,0.0,original
2020-03-31,0.0,original
2020-04-07,0.0,original
2020-04-14,0.0,original
2020-04-21,0.0,original
2020-04-28,0.0,original
2020-05-05,0.0,original
2020-05-12,0.0,original
2020-05-19,0.0,original
2020-05-26,0.0,original
2020-06-02,0.0,original
2020-06-09,0.0,original
2020-06-16,0.0,original
2020-06-23,0.0,original
2020-06-30,0.0,original
2020-07-07,0.0,original
2020-07-14,0.0,original
2020-07-21,0.0,original
2020-07-28,9.61,original
2020-08-04,0.0,original
2020-08-11,0.0,original
2020-08-18,0.0,original
2020-08-25,0.0,original
2020-09-01,0.0,original
2020-09-08,0.0,original
