ValidStart,value,type
2020-06-02,58.831670489776194,pre
2020-06-09,59.910174819140714,pre
2020-06-16,52.82581637121049,pre
2020-06-23,59.00366545650733,pre
2020-06-30,62.95851734192549,pre
2020-07-07,63.11522602883506,pre
2020-07-14,62.950788340182534,pre
2020-07-21,64.85270839759276,pre
2020-07-28,46.87228407957565,pre
2020-08-04,50.01218748292105,pre
2020-08-11,51.72963247652841,pre
2020-08-18,55.94552522696095,pre
2020-08-25,54.67063065404399,pre
2020-09-01,57.940843463857966,pre
2020-09-08,56.798847124086834,pre
2020-09-15,57.592507043553404,pre
2020-09-22,58.62513921296555,pre
2020-09-29,71.14899896576999,pre
2020-06-02,49.44605454205831,pre_lowerbound
2020-06-09,49.80891892858935,pre_lowerbound
2020-06-16,43.86529753580764,pre_lowerbound
2020-06-23,49.34005697553648,pre_lowerbound
2020-06-30,53.5527953617527,pre_lowerbound
2020-07-07,52.97387590977158,pre_lowerbound
2020-07-14,53.64065085106197,pre_lowerbound
2020-07-21,55.046066414280816,pre_lowerbound
2020-07-28,37.26214861857405,pre_lowerbound
2020-08-04,40.27518774774293,pre_lowerbound
2020-08-11,41.81558615201859,pre_lowerbound
2020-08-18,46.01478386308161,pre_lowerbound
2020-08-25,45.13933653219732,pre_lowerbound
2020-09-01,47.64366546661897,pre_lowerbound
2020-09-08,47.55924967268345,pre_lowerbound
2020-09-15,46.990686881376796,pre_lowerbound
2020-09-22,48.88313402748917,pre_lowerbound
2020-09-29,61.200003441625164,pre_lowerbound
2020-06-02,68.36510938610864,pre_upperbound
2020-06-09,69.39181215665998,pre_upperbound
2020-06-16,63.270952291684786,pre_upperbound
2020-06-23,68.94856151072378,pre_upperbound
2020-06-30,72.25866705995176,pre_upperbound
2020-07-07,72.32147816894286,pre_upperbound
2020-07-14,72.5937818442663,pre_upperbound
2020-07-21,73.89268240286309,pre_upperbound
2020-07-28,56.18639622755965,pre_upperbound
2020-08-04,60.204499976591265,pre_upperbound
2020-08-11,61.75875779909177,pre_upperbound
2020-08-18,65.37090042024349,pre_upperbound
2020-08-25,64.10813971749883,pre_upperbound
2020-09-01,67.45803470441781,pre_upperbound
2020-09-08,66.43648644569716,pre_upperbound
2020-09-15,66.95867756901687,pre_upperbound
2020-09-22,68.51400009356227,pre_upperbound
2020-09-29,80.67134391983902,pre_upperbound
2015-09-15,5.230000000000004,original
2015-09-22,15.61,original
2015-09-29,20.430000000000007,original
2015-10-06,25.400000000000006,original
2015-10-13,31.22,original
2015-10-20,36.88,original
2015-10-27,36.88,original
2015-11-03,36.88,original
2015-11-10,36.88,original
2015-11-17,36.88,original
2015-11-24,42.89,original
2015-12-01,42.89,original
2015-12-08,42.89,original
2015-12-15,42.89,original
2015-12-22,38.68,original
2015-12-29,38.68,original
2016-01-05,38.68,original
2016-01-12,38.68,original
2016-01-19,25.349999999999994,original
2016-01-26,25.349999999999994,original
2016-02-02,55.33,original
2016-02-09,55.33,original
2016-02-16,59.35,original
2016-02-23,59.35,original
2016-03-01,71.63,original
2016-03-08,84.13,original
2016-03-15,89.6,original
2016-03-22,92.03,original
2016-03-29,92.03,original
2016-04-05,89.7,original
2016-04-12,90.45,original
2016-04-19,71.52,original
2016-04-26,27.659999999999997,original
2016-05-03,27.659999999999997,original
2016-05-10,20.540000000000006,original
2016-05-17,20.599999999999994,original
2016-05-24,21.120000000000005,original
2016-05-31,12.760000000000005,original
2016-06-07,13.89,original
2016-06-14,18.950000000000003,original
2016-06-21,13.049999999999997,original
2016-06-28,17.58,original
2016-07-05,19.47,original
2016-07-12,12.269999999999996,original
2016-07-19,15.14,original
2016-07-26,9.950000000000003,original
2016-08-02,9.950000000000003,original
2016-08-09,11.849999999999994,original
2016-08-16,9.569999999999993,original
2016-08-23,8.170000000000002,original
2016-08-30,10.739999999999995,original
2016-09-06,10.739999999999995,original
2016-09-13,7.230000000000004,original
2016-09-20,7.709999999999994,original
2016-09-27,3.299999999999997,original
2016-10-04,1.0600000000000023,original
2016-10-11,1.0600000000000023,original
2016-10-18,1.0600000000000023,original
2016-10-25,1.1200000000000045,original
2016-11-01,1.0499999999999972,original
2016-11-08,6.230000000000004,original
2016-11-15,6.230000000000004,original
2016-11-22,26.599999999999994,original
2016-11-29,26.599999999999994,original
2016-12-06,29.349999999999994,original
2016-12-13,10.239999999999995,original
2016-12-20,12.25,original
2016-12-27,6.1299999999999955,original
2017-01-03,6.1299999999999955,original
2017-01-10,6.1299999999999955,original
2017-01-17,6.1299999999999955,original
2017-01-24,6.189999999999998,original
2017-01-31,6.189999999999998,original
2017-02-07,6.189999999999998,original
2017-02-14,6.189999999999998,original
2017-02-21,6.189999999999998,original
2017-02-28,6.170000000000002,original
2017-03-07,6.170000000000002,original
2017-03-14,6.170000000000002,original
2017-03-21,6.170000000000002,original
2017-03-28,6.170000000000002,original
2017-04-04,6.170000000000002,original
2017-04-11,8.780000000000001,original
2017-04-18,8.780000000000001,original
2017-04-25,8.780000000000001,original
2017-05-02,8.780000000000001,original
2017-05-09,30.299999999999997,original
2017-05-16,36.21,original
2017-05-23,43.61,original
2017-05-30,99.9,original
2017-06-06,100.0,original
2017-06-13,100.0,original
2017-06-20,99.98,original
2017-06-27,99.98,original
2017-07-04,93.68,original
2017-07-11,93.68,original
2017-07-18,93.68,original
2017-07-25,93.39,original
2017-08-01,96.91,original
2017-08-08,99.71,original
2017-08-15,99.59,original
2017-08-22,99.59,original
2017-08-29,99.59,original
2017-09-05,99.59,original
2017-09-12,98.03,original
2017-09-19,99.87,original
2017-09-26,88.93,original
2017-10-03,71.98,original
2017-10-10,71.98,original
2017-10-17,71.89,original
2017-10-24,80.3,original
2017-10-31,81.7,original
2017-11-07,81.7,original
2017-11-14,81.7,original
2017-11-21,81.7,original
2017-11-28,81.7,original
2017-12-05,92.26,original
2017-12-12,92.26,original
2017-12-19,92.26,original
2017-12-26,92.26,original
2018-01-02,92.26,original
2018-01-09,92.26,original
2018-01-16,92.26,original
2018-01-23,96.84,original
2018-01-30,96.84,original
2018-02-06,96.91,original
2018-02-13,96.92,original
2018-02-20,96.92,original
2018-02-27,96.92,original
2018-03-06,96.92,original
2018-03-13,96.92,original
2018-03-20,90.78999999999999,original
2018-03-27,90.78999999999999,original
2018-04-03,82.8,original
2018-04-10,82.8,original
2018-04-17,65.19,original
2018-04-24,65.19,original
2018-05-01,75.96000000000001,original
2018-05-08,89.06,original
2018-05-15,89.8,original
2018-05-22,80.64,original
2018-05-29,80.69,original
2018-06-05,80.82,original
2018-06-12,81.85,original
2018-06-19,60.75,original
2018-06-26,60.75,original
2018-07-03,37.28,original
2018-07-10,19.849999999999994,original
2018-07-17,15.879999999999995,original
2018-07-24,15.879999999999995,original
2018-07-31,13.909999999999997,original
2018-08-07,19.879999999999995,original
2018-08-14,55.45,original
2018-08-21,77.51,original
2018-08-28,80.23,original
2018-09-04,82.74,original
2018-09-11,84.95,original
2018-09-18,83.64,original
2018-09-25,83.64,original
2018-10-02,75.8,original
2018-10-09,66.78,original
2018-10-16,63.55,original
2018-10-23,63.55,original
2018-10-30,60.23,original
2018-11-06,60.23,original
2018-11-13,60.23,original
2018-11-20,46.71,original
2018-11-27,46.7,original
2018-12-04,35.8,original
2018-12-11,35.8,original
2018-12-18,35.8,original
2018-12-25,35.8,original
2019-01-01,33.790000000000006,original
2019-01-08,33.790000000000006,original
2019-01-15,33.790000000000006,original
2019-01-22,33.790000000000006,original
2019-01-29,33.790000000000006,original
2019-02-05,20.239999999999995,original
2019-02-12,17.370000000000005,original
2019-02-19,17.370000000000005,original
2019-02-26,0.0,original
2019-03-05,0.0,original
2019-03-12,0.0,original
2019-03-19,0.0,original
2019-03-26,0.0,original
2019-04-02,0.0,original
2019-04-09,0.0,original
2019-04-16,0.0,original
2019-04-23,18.349999999999994,original
2019-04-30,18.040000000000006,original
2019-05-07,8.620000000000005,original
2019-05-14,8.620000000000005,original
2019-05-21,23.08,original
2019-05-28,24.049999999999997,original
2019-06-04,28.86,original
2019-06-11,37.65,original
2019-06-18,41.68,original
2019-06-25,41.68,original
2019-07-02,39.53,original
2019-07-09,39.54,original
2019-07-16,26.180000000000007,original
2019-07-23,22.299999999999997,original
2019-07-30,23.939999999999998,original
2019-08-06,27.900000000000006,original
2019-08-13,28.930000000000007,original
2019-08-20,27.11,original
2019-08-27,18.569999999999993,original
2019-09-03,6.579999999999998,original
2019-09-10,5.989999999999995,original
2019-09-17,0.0,original
2019-09-24,0.0,original
2019-10-01,0.0,original
2019-10-08,0.0,original
2019-10-15,0.0,original
2019-10-22,0.0,original
2019-10-29,0.0,original
2019-11-05,0.0,original
2019-11-12,0.0,original
2019-11-19,0.0,original
2019-11-26,0.0,original
2019-12-03,0.0,original
2019-12-10,0.0,original
2019-12-17,0.0,original
2019-12-24,0.0,original
2019-12-31,0.0,original
2020-01-07,0.0,original
2020-01-14,0.0,original
2020-01-21,0.0,original
2020-01-28,0.0,original
2020-02-04,0.0,original
2020-02-11,0.0,original
2020-02-18,0.0,original
2020-02-25,0.0,original
2020-03-03,0.0,original
2020-03-10,0.0,original
2020-03-17,0.0,original
2020-03-24,5.150000000000006,original
2020-03-31,5.150000000000006,original
2020-04-07,5.319999999999993,original
2020-04-14,5.319999999999993,original
2020-04-21,33.209999999999994,original
2020-04-28,41.32,original
2020-05-05,48.43,original
2020-05-12,45.51,original
2020-05-19,56.75,original
2020-05-26,56.75,original
2020-06-02,60.33,original
2020-06-09,56.86,original
2020-06-16,63.19,original
2020-06-23,68.63,original
2020-06-30,70.59,original
2020-07-07,71.16,original
2020-07-14,71.6,original
2020-07-21,52.2,original
2020-07-28,48.7,original
2020-08-04,48.7,original
2020-08-11,54.11,original
2020-08-18,56.29,original
2020-08-25,61.01,original
2020-09-01,60.82,original
2020-09-08,61.43,original
2020-09-15,63.06,original
2020-09-22,75.41,original
2020-09-29,84.87,original
