ValidStart,value,type
2020-06-02,28.416354329523543,pre
2020-06-09,47.69922768626791,pre
2020-06-16,79.21892112460556,pre
2020-06-23,90.65945251524114,pre
2020-06-30,89.47393229742818,pre
2020-07-07,87.16663911003594,pre
2020-07-14,85.49582806643545,pre
2020-07-21,77.20858614024395,pre
2020-07-28,77.79715617140255,pre
2020-08-04,56.346921501666856,pre
2020-08-11,57.54303154285654,pre
2020-08-18,86.53046429300508,pre
2020-08-25,85.08936765420168,pre
2020-09-01,84.71474166462801,pre
2020-09-08,84.6120487497735,pre
2020-09-15,84.76436824934271,pre
2020-09-22,85.86335235224773,pre
2020-09-29,88.327418900729,pre
2020-06-02,14.35500017105184,pre_lowerbound
2020-06-09,34.53074545203683,pre_lowerbound
2020-06-16,66.09333491693413,pre_lowerbound
2020-06-23,76.96862890179274,pre_lowerbound
2020-06-30,75.24787631117673,pre_lowerbound
2020-07-07,73.98828477738108,pre_lowerbound
2020-07-14,72.24922757957721,pre_lowerbound
2020-07-21,63.09571683175479,pre_lowerbound
2020-07-28,64.30351852045013,pre_lowerbound
2020-08-04,44.106839416307466,pre_lowerbound
2020-08-11,44.013347332493275,pre_lowerbound
2020-08-18,72.91655914198758,pre_lowerbound
2020-08-25,70.34372992380887,pre_lowerbound
2020-09-01,71.46488223474812,pre_lowerbound
2020-09-08,70.5975064994667,pre_lowerbound
2020-09-15,70.29951269801761,pre_lowerbound
2020-09-22,71.75077717299145,pre_lowerbound
2020-09-29,75.09039865811064,pre_lowerbound
2020-06-02,41.089231687728024,pre_upperbound
2020-06-09,60.8957971559982,pre_upperbound
2020-06-16,92.64707066968683,pre_upperbound
2020-06-23,104.51294279825277,pre_upperbound
2020-06-30,103.0688123391414,pre_upperbound
2020-07-07,101.05527479216533,pre_upperbound
2020-07-14,99.1641864965701,pre_upperbound
2020-07-21,91.62869093286459,pre_upperbound
2020-07-28,91.37664266351318,pre_upperbound
2020-08-04,70.53407494936371,pre_upperbound
2020-08-11,70.70672201321773,pre_upperbound
2020-08-18,100.45797354516401,pre_upperbound
2020-08-25,98.88573862347148,pre_upperbound
2020-09-01,97.89012676846055,pre_upperbound
2020-09-08,97.05916533019587,pre_upperbound
2020-09-15,98.22360577179504,pre_upperbound
2020-09-22,99.92416165873213,pre_upperbound
2020-09-29,101.48963545028712,pre_upperbound
2015-09-15,74.36,original
2015-09-22,74.36,original
2015-09-29,74.36,original
2015-10-06,23.620000000000005,original
2015-10-13,23.620000000000005,original
2015-10-20,23.620000000000005,original
2015-10-27,23.620000000000005,original
2015-11-03,23.620000000000005,original
2015-11-10,23.620000000000005,original
2015-11-17,47.63,original
2015-11-24,47.63,original
2015-12-01,47.63,original
2015-12-08,47.63,original
2015-12-15,49.16,original
2015-12-22,49.16,original
2015-12-29,49.16,original
2016-01-05,49.16,original
2016-01-12,49.87,original
2016-01-19,49.87,original
2016-01-26,49.87,original
2016-02-02,50.48,original
2016-02-09,51.63,original
2016-02-16,51.63,original
2016-02-23,43.85,original
2016-03-01,14.239999999999995,original
2016-03-08,14.239999999999995,original
2016-03-15,14.239999999999995,original
2016-03-22,13.450000000000003,original
2016-03-29,13.450000000000003,original
2016-04-05,13.450000000000003,original
2016-04-12,13.450000000000003,original
2016-04-19,13.450000000000003,original
2016-04-26,13.450000000000003,original
2016-05-03,13.450000000000003,original
2016-05-10,28.39,original
2016-05-17,42.75,original
2016-05-24,42.76,original
2016-05-31,61.76,original
2016-06-07,61.76,original
2016-06-14,63.0,original
2016-06-21,89.88,original
2016-06-28,90.37,original
2016-07-05,86.8,original
2016-07-12,83.56,original
2016-07-19,78.46000000000001,original
2016-07-26,73.64,original
