ValidStart,value,type
2020-06-02,0.346856503497452,pre
2020-06-09,0.6514427968906794,pre
2020-06-16,1.7054103954781004,pre
2020-06-23,3.261305834992954,pre
2020-06-30,4.3629034620348195,pre
2020-07-07,16.473717638485,pre
2020-07-14,50.13588473052566,pre
2020-07-21,12.479782517706667,pre
2020-07-28,10.346523400618636,pre
2020-08-04,9.267461956326022,pre
2020-08-11,10.408965172856322,pre
2020-08-18,0.9528562395587411,pre
2020-08-25,4.894523071204189,pre
2020-09-01,7.332479634707121,pre
2020-09-08,7.501902783591085,pre
2020-09-15,6.432286379993164,pre
2020-09-22,5.714242564327718,pre
2020-09-29,5.891089505427398,pre
2020-06-02,-14.546015305782625,pre_lowerbound
2020-06-09,-13.440019957399214,pre_lowerbound
2020-06-16,-11.85601992365335,pre_lowerbound
2020-06-23,-10.899023601204878,pre_lowerbound
2020-06-30,-10.400071166396389,pre_lowerbound
2020-07-07,2.500619364284325,pre_lowerbound
2020-07-14,36.07486625864163,pre_lowerbound
2020-07-21,-1.9435893249457086,pre_lowerbound
2020-07-28,-2.7580408908019605,pre_lowerbound
2020-08-04,-4.8494299369646985,pre_lowerbound
2020-08-11,-5.115160432321743,pre_lowerbound
2020-08-18,-13.787388974000166,pre_lowerbound
2020-08-25,-8.34324375921732,pre_lowerbound
2020-09-01,-7.3281039667638135,pre_lowerbound
2020-09-08,-7.3069271154037905,pre_lowerbound
2020-09-15,-8.653135362592685,pre_lowerbound
2020-09-22,-9.100425399975732,pre_lowerbound
2020-09-29,-7.205770106494053,pre_lowerbound
2020-06-02,14.456160832353738,pre_upperbound
2020-06-09,13.62740645897073,pre_upperbound
2020-06-16,16.159836543700994,pre_upperbound
2020-06-23,18.17557478986197,pre_upperbound
2020-06-30,19.31377090871867,pre_upperbound
2020-07-07,31.28353226592243,pre_upperbound
2020-07-14,64.13011460979266,pre_upperbound
2020-07-21,26.764440767355488,pre_upperbound
2020-07-28,24.321824836598886,pre_upperbound
2020-08-04,22.829861624685613,pre_upperbound
2020-08-11,24.03956478050803,pre_upperbound
2020-08-18,14.582146501290705,pre_upperbound
2020-08-25,19.06789669273039,pre_upperbound
2020-09-01,21.035040893706668,pre_upperbound
2020-09-08,21.979211971937172,pre_upperbound
2020-09-15,21.642462336789237,pre_upperbound
2020-09-22,20.327876480929795,pre_upperbound
2020-09-29,20.42489080131246,pre_upperbound
2015-09-15,88.31,original
2015-09-22,88.31,original
2015-09-29,90.45,original
