ValidStart,value,type
2020-06-02,67.84934089396158,pre
2020-06-09,67.07999795275352,pre
2020-06-16,72.98830434807363,pre
2020-06-23,72.45083514886683,pre
2020-06-30,73.94226313369201,pre
2020-07-07,75.77437382801669,pre
2020-07-14,83.54150965641898,pre
2020-07-21,99.49218477066566,pre
2020-07-28,96.9065700845414,pre
2020-08-04,96.96985420432469,pre
2020-08-11,98.42977674722569,pre
2020-08-18,99.38785759776508,pre
2020-08-25,98.39743619318875,pre
2020-09-01,96.29541575108361,pre
2020-09-08,95.05626883751796,pre
2020-09-15,95.58169536349168,pre
2020-09-22,96.74123696501412,pre
2020-09-29,97.0412686470691,pre
2020-06-02,58.06834966725095,pre_lowerbound
2020-06-09,57.71509332052836,pre_lowerbound
2020-06-16,63.938577642296366,pre_lowerbound
2020-06-23,63.30736416972586,pre_lowerbound
2020-06-30,63.61669180387081,pre_lowerbound
2020-07-07,66.56509620935331,pre_lowerbound
2020-07-14,73.9539689645288,pre_lowerbound
2020-07-21,90.3623292154385,pre_lowerbound
2020-07-28,86.65472202388665,pre_lowerbound
2020-08-04,87.18457594409664,pre_lowerbound
2020-08-11,89.19504019630904,pre_lowerbound
2020-08-18,90.20314965212421,pre_lowerbound
2020-08-25,88.37848117146065,pre_lowerbound
2020-09-01,86.79594700837019,pre_lowerbound
2020-09-08,85.13846208412232,pre_lowerbound
2020-09-15,86.01161019392798,pre_lowerbound
2020-09-22,86.47406979353715,pre_lowerbound
2020-09-29,87.05866876271352,pre_lowerbound
2020-06-02,77.49739072867757,pre_upperbound
2020-06-09,76.92525357860956,pre_upperbound
2020-06-16,82.01942034041129,pre_upperbound
2020-06-23,81.80047138858126,pre_upperbound
2020-06-30,83.48389133624542,pre_upperbound
2020-07-07,85.01334392092534,pre_upperbound
2020-07-14,93.33131786895218,pre_upperbound
2020-07-21,109.46328702612766,pre_upperbound
2020-07-28,107.14522306595023,pre_upperbound
2020-08-04,106.0485379109894,pre_upperbound
2020-08-11,107.60278112819834,pre_upperbound
2020-08-18,108.51184611198488,pre_upperbound
2020-08-25,107.46461509793136,pre_upperbound
2020-09-01,105.83134406137818,pre_upperbound
2020-09-08,105.35801871438096,pre_upperbound
2020-09-15,105.33197605111118,pre_upperbound
2020-09-22,106.11832924940498,pre_upperbound
2020-09-29,106.83303787352266,pre_upperbound
2015-09-15,50.56,original
2015-09-22,51.62,original
2015-09-29,43.3,original
2015-10-06,42.12,original
2015-10-13,40.97,original
2015-10-20,41.04,original
2015-10-27,26.239999999999995,original
2015-11-03,26.239999999999995,original
2015-11-10,26.239999999999995,original
2015-11-17,26.239999999999995,original
2015-11-24,26.239999999999995,original
2015-12-01,26.239999999999995,original
2015-12-08,26.239999999999995,original
2015-12-15,26.239999999999995,original
2015-12-22,26.239999999999995,original
2015-12-29,26.239999999999995,original
2016-01-05,16.36,original
2016-01-12,9.239999999999995,original
2016-01-19,9.239999999999995,original
2016-01-26,9.239999999999995,original
2016-02-02,9.269999999999996,original
2016-02-09,9.269999999999996,original
2016-02-16,9.269999999999996,original
2016-02-23,25.53,original
2016-03-01,32.459999999999994,original
2016-03-08,34.06,original
2016-03-15,42.95,original
2016-03-22,95.14,original
2016-03-29,99.64,original
2016-04-05,96.85,original
2016-04-12,96.86,original
2016-04-19,96.89,original
2016-04-26,96.64,original
2016-05-03,91.03,original
2016-05-10,83.84,original
2016-05-17,83.44,original
2016-05-24,83.82,original
2016-05-31,82.06,original
2016-06-07,77.36,original
2016-06-14,77.36,original
2016-06-21,77.36,original
2016-06-28,77.36,original
2016-07-05,77.36,original
2016-07-12,76.85,original
2016-07-19,76.87,original
2016-07-26,96.0,original
2016-08-02,95.12,original
2016-08-09,95.04,original
2016-08-16,87.68,original
2016-08-23,87.09,original
2016-08-30,85.66,original
2016-09-06,83.57,original
2016-09-13,46.67,original
2016-09-20,46.67,original
2016-09-27,46.67,original
2016-10-04,44.67,original
2016-10-11,44.67,original
2016-10-18,54.13,original
2016-10-25,54.13,original
2016-11-01,63.3,original
2016-11-08,60.46,original
2016-11-15,60.46,original
2016-11-22,60.46,original
2016-11-29,53.77,original
2016-12-06,53.77,original
2016-12-13,53.86,original
2016-12-20,53.95,original
2016-12-27,34.45,original
2017-01-03,33.8,original
2017-01-10,33.34,original
2017-01-17,33.209999999999994,original
2017-01-24,11.969999999999999,original
2017-01-31,11.950000000000003,original
2017-02-07,12.11,original
2017-02-14,12.11,original
2017-02-21,13.290000000000006,original
2017-02-28,23.0,original
2017-03-07,21.480000000000004,original
2017-03-14,23.980000000000004,original
2017-03-21,55.59,original
2017-03-28,54.96,original
2017-04-04,49.42,original
2017-04-11,49.43,original
2017-04-18,45.67,original
2017-04-25,41.43,original
2017-05-02,18.489999999999995,original
2017-05-09,18.489999999999995,original
2017-05-16,18.730000000000004,original
2017-05-23,23.700000000000003,original
2017-05-30,26.819999999999993,original
2017-06-06,22.680000000000007,original
2017-06-13,21.450000000000003,original
2017-06-20,24.739999999999995,original
2017-06-27,23.489999999999995,original
2017-07-04,23.489999999999995,original
2017-07-11,23.310000000000002,original
2017-07-18,27.049999999999997,original
2017-07-25,33.510000000000005,original
2017-08-01,5.0,original
2017-08-08,1.3400000000000034,original
2017-08-15,1.3400000000000034,original
2017-08-22,0.0,original
2017-08-29,0.0,original
2017-09-05,0.0,original
2017-09-12,0.0,original
2017-09-19,0.0,original
2017-09-26,14.840000000000003,original
2017-10-03,14.840000000000003,original
2017-10-10,7.790000000000006,original
2017-10-17,8.010000000000005,original
2017-10-24,11.370000000000005,original
2017-10-31,16.549999999999997,original
