ValidStart,value,type
2020-06-02,99.14600218129159,pre
2020-06-09,99.61506247364385,pre
2020-06-16,97.28037895608323,pre
2020-06-23,93.61766177370805,pre
2020-06-30,93.42974577166156,pre
2020-07-07,93.70146548761835,pre
2020-07-14,94.75992908780333,pre
2020-07-21,95.17762480822023,pre
2020-07-28,93.051907680936,pre
2020-08-04,91.3912051855668,pre
2020-08-11,91.86442904948719,pre
2020-08-18,93.3514150261222,pre
2020-08-25,93.58019157866129,pre
2020-09-01,92.39173486098312,pre
2020-09-08,93.13951054582368,pre
2020-09-15,92.09277857597071,pre
2020-09-22,92.92471817435045,pre
2020-09-29,94.9621548948109,pre
2020-06-02,89.60505737534722,pre_lowerbound
2020-06-09,89.37337228263966,pre_lowerbound
2020-06-16,88.22253228522383,pre_lowerbound
2020-06-23,83.92499181412173,pre_lowerbound
2020-06-30,83.90354970206903,pre_lowerbound
2020-07-07,84.70045727496753,pre_lowerbound
2020-07-14,84.8931065169787,pre_lowerbound
2020-07-21,85.71791893788887,pre_lowerbound
2020-07-28,83.35994113306931,pre_lowerbound
2020-08-04,82.32894043699189,pre_lowerbound
2020-08-11,82.58464116917385,pre_lowerbound
2020-08-18,83.78376633450769,pre_lowerbound
2020-08-25,83.77031050721331,pre_lowerbound
2020-09-01,83.3162056908697,pre_lowerbound
2020-09-08,83.30195147280243,pre_lowerbound
2020-09-15,82.99023456028446,pre_lowerbound
2020-09-22,83.15522346426783,pre_lowerbound
2020-09-29,85.89181396485981,pre_lowerbound
2020-06-02,107.90947672713759,pre_upperbound
2020-06-09,109.2784801182111,pre_upperbound
2020-06-16,106.2418705593098,pre_upperbound
2020-06-23,102.44741631713941,pre_upperbound
2020-06-30,103.30522138247335,pre_upperbound
2020-07-07,102.95837032920926,pre_upperbound
2020-07-14,104.43395308228916,pre_upperbound
2020-07-21,103.70666631213325,pre_upperbound
2020-07-28,102.5335531111334,pre_upperbound
2020-08-04,101.20471191722594,pre_upperbound
2020-08-11,101.17186572724427,pre_upperbound
2020-08-18,103.37775043341964,pre_upperbound
2020-08-25,102.94081575261873,pre_upperbound
2020-09-01,101.7020280870629,pre_upperbound
2020-09-08,101.90852803024646,pre_upperbound
2020-09-15,101.23961924396865,pre_upperbound
2020-09-22,102.4647075624409,pre_upperbound
2020-09-29,105.21051157454548,pre_upperbound
2015-09-15,100.0,original
2015-09-22,100.0,original
2015-09-29,100.0,original
2015-10-06,100.0,original
2015-10-13,100.0,original
2015-10-20,100.0,original
2015-10-27,100.0,original
2015-11-03,100.0,original
2015-11-10,100.0,original
2015-11-17,100.0,original
2015-11-24,99.29,original
2015-12-01,99.29,original
2015-12-08,96.69,original
2015-12-15,91.03,original
2015-12-22,89.82,original
2015-12-29,85.48,original
2016-01-05,85.48,original
2016-01-12,85.4,original
2016-01-19,85.4,original
2016-01-26,85.37,original
2016-02-02,85.42,original
2016-02-09,83.12,original
2016-02-16,77.42,original
2016-02-23,70.53,original
2016-03-01,70.53,original
2016-03-08,70.53,original
2016-03-15,70.53,original
2016-03-22,69.67,original
2016-03-29,68.78999999999999,original
2016-04-05,54.05,original
