ValidStart,value,type
2020-06-02,5.516399910483712,pre
2020-06-09,7.568259205621283,pre
2020-06-16,7.488602784330815,pre
2020-06-23,16.870454254517295,pre
2020-06-30,17.558233706813038,pre
2020-07-07,10.757440293142633,pre
2020-07-14,56.04776510712211,pre
2020-07-21,58.36455626109094,pre
2020-07-28,53.81237839350885,pre
2020-08-04,57.353964789894476,pre
2020-08-11,59.306879041087505,pre
2020-08-18,62.1525525364863,pre
2020-08-25,63.13423245951784,pre
2020-09-01,62.295695581635,pre
2020-09-08,61.584670457252834,pre
2020-09-15,62.444546098588056,pre
2020-09-22,64.40319237923212,pre
2020-09-29,65.74522245130184,pre
2020-06-02,-13.276386528275781,pre_lowerbound
2020-06-09,-12.12757138345915,pre_lowerbound
2020-06-16,-12.222636122955063,pre_lowerbound
2020-06-23,-2.7129001271808177,pre_lowerbound
2020-06-30,-2.330135255714798,pre_lowerbound
2020-07-07,-9.889020932062893,pre_lowerbound
2020-07-14,35.980085805539396,pre_lowerbound
2020-07-21,38.80294352645036,pre_lowerbound
2020-07-28,34.391019342915406,pre_lowerbound
2020-08-04,38.0494587222582,pre_lowerbound
2020-08-11,38.510963308435,pre_lowerbound
2020-08-18,41.89082724292252,pre_lowerbound
2020-08-25,43.07078525338126,pre_lowerbound
2020-09-01,43.226148828208615,pre_lowerbound
2020-09-08,42.250240625186976,pre_lowerbound
2020-09-15,42.407348963805305,pre_lowerbound
2020-09-22,43.15093896542674,pre_lowerbound
2020-09-29,44.34732463801622,pre_lowerbound
2020-06-02,26.045592673739364,pre_upperbound
2020-06-09,29.472777762669008,pre_upperbound
2020-06-16,26.880353694972797,pre_upperbound
2020-06-23,37.8856025608522,pre_upperbound
2020-06-30,36.37856034930321,pre_upperbound
2020-07-07,30.406792953363208,pre_upperbound
2020-07-14,76.54070403675827,pre_upperbound
2020-07-21,79.54078383891485,pre_upperbound
2020-07-28,74.49227375762474,pre_upperbound
2020-08-04,77.00589040307007,pre_upperbound
2020-08-11,79.68822141617241,pre_upperbound
2020-08-18,83.55246204034205,pre_upperbound
2020-08-25,83.40546887917105,pre_upperbound
2020-09-01,82.9669396619888,pre_upperbound
2020-09-08,81.99487820333292,pre_upperbound
2020-09-15,82.900325524621,pre_upperbound
2020-09-22,85.37893503498,pre_upperbound
2020-09-29,85.60516613719874,pre_upperbound
2015-09-15,80.44,original
2015-09-22,87.93,original
2015-09-29,87.93,original
2015-10-06,87.93,original
2015-10-13,87.93,original
2015-10-20,87.93,original
2015-10-27,87.93,original
2015-11-03,87.93,original
2015-11-10,87.93,original
2015-11-17,87.93,original
2015-11-24,87.93,original
2015-12-01,87.93,original
2015-12-08,87.93,original
2015-12-15,87.93,original
2015-12-22,87.93,original
2015-12-29,87.93,original
2016-01-05,87.93,original
2016-01-12,87.59,original
2016-01-19,87.59,original
2016-01-26,46.25,original
2016-02-02,46.9,original
2016-02-09,46.9,original
2016-02-16,46.9,original
2016-02-23,35.519999999999996,original
