ValidStart,value,type
2020-06-02,1.9256104949149448,pre
2020-06-09,1.4207539975325199,pre
2020-06-16,1.790450566479611,pre
2020-06-23,12.253643744779056,pre
2020-06-30,7.706645313007511,pre
2020-07-07,9.280365270442493,pre
2020-07-14,4.104571327668437,pre
2020-07-21,13.250729938618802,pre
2020-07-28,28.985446318374947,pre
2020-08-04,27.73706797730791,pre
2020-08-11,23.24516817585602,pre
2020-08-18,12.172759183155417,pre
2020-08-25,5.709820083756901,pre
2020-09-01,9.077257788512506,pre
2020-09-08,7.5113041468975705,pre
2020-09-15,8.823037102469463,pre
2020-09-22,8.425836290700117,pre
2020-09-29,8.179638564909219,pre
2020-06-02,-11.024604891971801,pre_lowerbound
2020-06-09,-11.812704713428714,pre_lowerbound
2020-06-16,-11.575803874561963,pre_lowerbound
2020-06-23,-0.18995343348243016,pre_lowerbound
2020-06-30,-4.756558895939598,pre_lowerbound
2020-07-07,-4.588232137482922,pre_lowerbound
2020-07-14,-8.85514833846972,pre_lowerbound
2020-07-21,1.5694030213927987,pre_lowerbound
2020-07-28,15.987834856332148,pre_lowerbound
2020-08-04,15.22757940488038,pre_lowerbound
2020-08-11,10.960302934423611,pre_lowerbound
2020-08-18,-0.5937885623328085,pre_lowerbound
2020-08-25,-6.0958369867854625,pre_lowerbound
2020-09-01,-2.882427346150379,pre_lowerbound
2020-09-08,-5.103213845630112,pre_lowerbound
2020-09-15,-4.180071258830385,pre_lowerbound
2020-09-22,-3.339641186785439,pre_lowerbound
2020-09-29,-5.588471455251382,pre_lowerbound
2020-06-02,14.881339236017403,pre_upperbound
2020-06-09,13.705788627820217,pre_upperbound
2020-06-16,15.153146668388645,pre_upperbound
2020-06-23,25.534730549413318,pre_upperbound
2020-06-30,20.1498855187792,pre_upperbound
2020-07-07,21.631498178741168,pre_upperbound
2020-07-14,16.60278907045003,pre_upperbound
2020-07-21,26.5464469051441,pre_upperbound
2020-07-28,41.751231155008156,pre_upperbound
2020-08-04,40.66801911648117,pre_upperbound
2020-08-11,36.35073582946203,pre_upperbound
2020-08-18,24.478762688254164,pre_upperbound
2020-08-25,18.449648251123644,pre_upperbound
2020-09-01,21.221683749999418,pre_upperbound
2020-09-08,18.826276938235942,pre_upperbound
2020-09-15,21.335625620295104,pre_upperbound
2020-09-22,20.88622125472176,pre_upperbound
2020-09-29,21.159977348564716,pre_upperbound
2015-09-15,15.25,original
2015-09-22,22.519999999999996,original
2015-09-29,22.78,original
2015-10-06,10.260000000000005,original
2015-10-13,22.019999999999996,original
2015-10-20,35.209999999999994,original
2015-10-27,21.519999999999996,original
2015-11-03,8.420000000000002,original
2015-11-10,8.5,original
2015-11-17,12.510000000000005,original
2015-11-24,4.469999999999999,original
2015-12-01,0.0,original
2015-12-08,0.0,original
2015-12-15,0.0,original
2015-12-22,0.0,original
2015-12-29,0.0,original
2016-01-05,0.0,original
2016-01-12,0.0,original
2016-01-19,0.0,original
2016-01-26,0.0,original
2016-02-02,0.0,original
2016-02-09,0.0,original
2016-02-16,0.0,original
