ValidStart,value,type
2020-06-02,88.22143514535944,pre
2020-06-09,90.42816140767121,pre
2020-06-16,98.11993206459572,pre
2020-06-23,98.23057772233345,pre
2020-06-30,96.87502592037121,pre
2020-07-07,96.66025768234381,pre
2020-07-14,99.27542562789833,pre
2020-07-21,101.0787497231651,pre
2020-07-28,101.38987978712002,pre
2020-08-04,96.48751970545851,pre
2020-08-11,94.09223477595177,pre
2020-08-18,98.25978801141389,pre
2020-08-25,106.48356690520681,pre
2020-09-01,112.12600349793966,pre
2020-09-08,109.48961269210271,pre
2020-09-15,102.21347415569619,pre
2020-09-22,95.99782500631802,pre
2020-09-29,95.77175768548734,pre
2020-06-02,79.29590119779566,pre_lowerbound
2020-06-09,81.38594161826327,pre_lowerbound
2020-06-16,89.18853948688462,pre_lowerbound
2020-06-23,89.42685159692675,pre_lowerbound
2020-06-30,88.4376522575244,pre_lowerbound
2020-07-07,88.2365322055383,pre_lowerbound
2020-07-14,90.98464290309259,pre_lowerbound
2020-07-21,91.52882826892011,pre_lowerbound
2020-07-28,92.10953692048969,pre_lowerbound
2020-08-04,87.5972494748678,pre_lowerbound
2020-08-11,85.75464740739447,pre_lowerbound
2020-08-18,88.79998453569334,pre_lowerbound
2020-08-25,97.70749614752708,pre_lowerbound
2020-09-01,103.32465021941499,pre_lowerbound
2020-09-08,100.3931697938451,pre_lowerbound
2020-09-15,93.47888427028126,pre_lowerbound
2020-09-22,86.93373339415054,pre_lowerbound
2020-09-29,86.84008540445845,pre_lowerbound
2020-06-02,97.00658726771776,pre_upperbound
2020-06-09,99.16670074043232,pre_upperbound
2020-06-16,107.28207704589046,pre_upperbound
2020-06-23,107.07754989413982,pre_upperbound
2020-06-30,106.59134838975244,pre_upperbound
2020-07-07,106.02034686460732,pre_upperbound
2020-07-14,108.40177772790585,pre_upperbound
2020-07-21,110.232912724162,pre_upperbound
2020-07-28,110.57923197929401,pre_upperbound
2020-08-04,104.93037668553802,pre_upperbound
2020-08-11,102.59136735365166,pre_upperbound
2020-08-18,107.30979849153285,pre_upperbound
2020-08-25,115.14772090289023,pre_upperbound
2020-09-01,120.16270865428586,pre_upperbound
2020-09-08,118.14616020292092,pre_upperbound
2020-09-15,110.91959605327008,pre_upperbound
2020-09-22,105.30511094663798,pre_upperbound
2020-09-29,104.48991969134467,pre_upperbound
2015-09-15,88.08,original
2015-09-22,88.08,original
2015-09-29,88.08,original
2015-10-06,87.41,original
2015-10-13,87.41,original
2015-10-20,87.94,original
2015-10-27,81.44,original
2015-11-03,81.44,original
2015-11-10,80.1,original
2015-11-17,80.1,original
2015-11-24,80.1,original
2015-12-01,77.48,original
2015-12-08,77.48,original
2015-12-15,77.39,original
2015-12-22,77.33,original
2015-12-29,77.32,original
2016-01-05,75.18,original
2016-01-12,71.83,original
2016-01-19,62.75,original
2016-01-26,62.75,original
2016-02-02,62.74,original
2016-02-09,62.74,original
2016-02-16,62.74,original
2016-02-23,62.74,original
2016-03-01,62.84,original
2016-03-08,65.78999999999999,original
2016-03-15,65.78999999999999,original
2016-03-22,65.78,original
2016-03-29,65.81,original
2016-04-05,65.0,original
2016-04-12,66.25999999999999,original
2016-04-19,66.3,original
2016-04-26,95.59,original
2016-05-03,75.92,original
2016-05-10,66.34,original
2016-05-17,66.28,original
2016-05-24,63.76,original
2016-05-31,46.77,original
2016-06-07,46.77,original
2016-06-14,46.77,original
2016-06-21,46.77,original
2016-06-28,49.37,original
2016-07-05,49.37,original
2016-07-12,49.37,original
2016-07-19,49.59,original
2016-07-26,55.45,original
2016-08-02,55.45,original
2016-08-09,55.45,original
2016-08-16,55.45,original
2016-08-23,62.91,original
2016-08-30,59.42,original
2016-09-06,76.61,original
2016-09-13,85.19,original
2016-09-20,85.19,original
2016-09-27,57.92,original
2016-10-04,57.48,original
2016-10-11,53.79,original
2016-10-18,53.74,original
2016-10-25,53.74,original
2016-11-01,60.13,original
2016-11-08,70.51,original
2016-11-15,70.51,original
2016-11-22,70.51,original
2016-11-29,70.51,original
2016-12-06,70.51,original
2016-12-13,70.9,original
2016-12-20,75.32,original
2016-12-27,64.19,original
2017-01-03,51.85,original
2017-01-10,45.09,original
2017-01-17,45.09,original
2017-01-24,38.16,original
2017-01-31,35.760000000000005,original
2017-02-07,13.200000000000003,original
2017-02-14,13.200000000000003,original
2017-02-21,13.200000000000003,original
2017-02-28,13.200000000000003,original
2017-03-07,13.200000000000003,original
2017-03-14,0.0,original
2017-03-21,0.0,original
2017-03-28,0.0,original
2017-04-04,0.0,original
2017-04-11,0.0,original
2017-04-18,0.0,original
2017-04-25,0.0,original
2017-05-02,12.769999999999996,original
2017-05-09,12.769999999999996,original
2017-05-16,16.89,original
2017-05-23,16.72,original
2017-05-30,16.72,original
2017-06-06,22.569999999999993,original
2017-06-13,22.569999999999993,original
2017-06-20,30.03,original
2017-06-27,30.03,original
2017-07-04,38.82,original
2017-07-11,46.81,original
2017-07-18,53.74,original
2017-07-25,60.63,original
2017-08-01,43.91,original
2017-08-08,43.87,original
2017-08-15,30.180000000000007,original
2017-08-22,33.260000000000005,original
2017-08-29,33.260000000000005,original
2017-09-05,64.42,original
2017-09-12,64.42,original
2017-09-19,64.47999999999999,original
2017-09-26,49.96,original
2017-10-03,49.96,original
2017-10-10,49.91,original
2017-10-17,51.24,original
2017-10-24,56.47,original
2017-10-31,63.93,original
2017-11-07,69.69,original
2017-11-14,74.11,original
2017-11-21,81.16,original
2017-11-28,84.67,original
2017-12-05,84.67,original
2017-12-12,84.67,original
2017-12-19,90.27,original
2017-12-26,90.27,original
2018-01-02,90.27,original
2018-01-09,90.53999999999999,original
2018-01-16,97.96,original
2018-01-23,97.96,original
2018-01-30,100.0,original
2018-02-06,100.0,original
2018-02-13,100.0,original
2018-02-20,100.0,original
2018-02-27,100.0,original
2018-03-06,100.0,original
2018-03-13,100.0,original
2018-03-20,100.0,original
2018-03-27,100.0,original
2018-04-03,100.0,original
2018-04-10,100.0,original
2018-04-17,100.0,original
2018-04-24,100.0,original
2018-05-01,100.0,original
2018-05-08,100.0,original
2018-05-15,100.0,original
2018-05-22,100.0,original
2018-05-29,100.0,original
2018-06-05,100.0,original
2018-06-12,100.0,original
2018-06-19,100.0,original
2018-06-26,100.0,original
2018-07-03,100.0,original
2018-07-10,100.0,original
2018-07-17,100.0,original
2018-07-24,100.0,original
2018-07-31,100.0,original
2018-08-07,100.0,original
2018-08-14,100.0,original
2018-08-21,100.0,original
2018-08-28,100.0,original
2018-09-04,100.0,original
2018-09-11,100.0,original
2018-09-18,100.0,original
2018-09-25,100.0,original
2018-10-02,100.0,original
2018-10-09,100.0,original
2018-10-16,100.0,original
2018-10-23,100.0,original
2018-10-30,100.0,original
2018-11-06,100.0,original
2018-11-13,100.0,original
2018-11-20,100.0,original
2018-11-27,100.0,original
2018-12-04,100.0,original
2018-12-11,100.0,original
2018-12-18,100.0,original
2018-12-25,100.0,original
2019-01-01,100.0,original
2019-01-08,100.0,original
2019-01-15,100.0,original
2019-01-22,100.0,original
2019-01-29,100.0,original
2019-02-05,100.0,original
2019-02-12,100.0,original
2019-02-19,100.0,original
2019-02-26,97.57,original
2019-03-05,97.57,original
2019-03-12,92.94,original
2019-03-19,87.46000000000001,original
2019-03-26,37.06,original
2019-04-02,37.06,original
2019-04-09,36.64,original
2019-04-16,18.090000000000003,original
2019-04-23,4.659999999999997,original
2019-04-30,2.450000000000003,original
2019-05-07,2.450000000000003,original
2019-05-14,2.1400000000000006,original
2019-05-21,0.5499999999999972,original
2019-05-28,0.5300000000000011,original
2019-06-04,0.5300000000000011,original
2019-06-11,0.0799999999999983,original
2019-06-18,0.030000000000001137,original
2019-06-25,0.030000000000001137,original
2019-07-02,0.030000000000001137,original
2019-07-09,0.030000000000001137,original
2019-07-16,0.030000000000001137,original
2019-07-23,12.769999999999996,original
2019-07-30,14.489999999999995,original
2019-08-06,14.489999999999995,original
2019-08-13,17.939999999999998,original
2019-08-20,17.989999999999995,original
2019-08-27,18.260000000000005,original
2019-09-03,78.19,original
2019-09-10,78.19,original
2019-09-17,54.18,original
2019-09-24,54.18,original
2019-10-01,54.18,original
2019-10-08,71.97,original
2019-10-15,71.97,original
2019-10-22,81.78,original
2019-10-29,81.78,original
2019-11-05,81.78,original
2019-11-12,81.8,original
2019-11-19,82.2,original
2019-11-26,84.61,original
2019-12-03,84.5,original
2019-12-10,84.08,original
2019-12-17,83.93,original
2019-12-24,83.93,original
2019-12-31,82.81,original
2020-01-07,82.81,original
2020-01-14,82.81,original
2020-01-21,82.81,original
2020-01-28,74.24,original
2020-02-04,74.24,original
2020-02-11,70.23,original
2020-02-18,70.23,original
2020-02-25,70.19,original
2020-03-03,78.57,original
2020-03-10,76.53999999999999,original
2020-03-17,81.05,original
2020-03-24,80.94,original
2020-03-31,77.85,original
2020-04-07,77.85,original
2020-04-14,77.85,original
2020-04-21,77.85,original
2020-04-28,74.91,original
2020-05-05,86.47,original
2020-05-12,90.55,original
2020-05-19,90.56,original
2020-05-26,90.56,original
2020-06-02,90.56,original
2020-06-09,96.64,original
2020-06-16,96.64,original
2020-06-23,96.64,original
2020-06-30,96.04,original
2020-07-07,96.04,original
2020-07-14,96.01,original
2020-07-21,98.74,original
2020-07-28,98.74,original
2020-08-04,98.74,original
2020-08-11,98.74,original
2020-08-18,98.77,original
2020-08-25,99.35,original
2020-09-01,99.33,original
2020-09-08,100.0,original
2020-09-15,100.0,original
2020-09-22,100.0,original
2020-09-29,100.0,original
