ValidStart,value,type
2020-06-02,24.351697464179242,pre
2020-06-09,72.8553019985198,pre
2020-06-16,69.57138538135172,pre
2020-06-23,69.92565398189433,pre
2020-06-30,69.68993219252714,pre
2020-07-07,68.98439711915066,pre
2020-07-14,69.24484906011013,pre
2020-07-21,76.51523998687867,pre
2020-07-28,81.7430827723017,pre
2020-08-04,80.11860939936682,pre
2020-08-11,80.66960399947814,pre
2020-08-18,84.06350315536132,pre
2020-08-25,86.9037256125109,pre
2020-09-01,88.62003962068172,pre
2020-09-08,89.42855476512322,pre
2020-09-15,88.6517079883297,pre
2020-09-22,86.46342505623545,pre
2020-09-29,88.51556580755694,pre
2020-06-02,18.743576795723254,pre_lowerbound
2020-06-09,66.9186788666506,pre_lowerbound
2020-06-16,63.87513944658688,pre_lowerbound
2020-06-23,64.14814910704624,pre_lowerbound
2020-06-30,63.78628847020708,pre_lowerbound
2020-07-07,63.34568989008103,pre_lowerbound
2020-07-14,63.40021426877942,pre_lowerbound
2020-07-21,70.79660443473674,pre_lowerbound
2020-07-28,76.17812809347008,pre_lowerbound
2020-08-04,74.53209165898313,pre_lowerbound
2020-08-11,74.88346887262884,pre_lowerbound
2020-08-18,78.19497483339597,pre_lowerbound
2020-08-25,80.92926720682206,pre_lowerbound
2020-09-01,82.91968246533011,pre_lowerbound
2020-09-08,83.52129810709631,pre_lowerbound
2020-09-15,83.02460102612451,pre_lowerbound
2020-09-22,80.696605164036,pre_lowerbound
2020-09-29,82.72472259954237,pre_lowerbound
2020-06-02,30.15110252750983,pre_upperbound
2020-06-09,78.81061737073769,pre_upperbound
2020-06-16,75.32255809406443,pre_upperbound
2020-06-23,75.7851603715332,pre_upperbound
2020-06-30,75.21212927809258,pre_upperbound
2020-07-07,74.9559805870022,pre_upperbound
2020-07-14,75.53754433554838,pre_upperbound
2020-07-21,82.42637692281052,pre_upperbound
2020-07-28,87.87490261515671,pre_upperbound
2020-08-04,86.24982001574472,pre_upperbound
2020-08-11,86.6139188073054,pre_upperbound
2020-08-18,89.76091410270519,pre_upperbound
2020-08-25,92.77186956033648,pre_upperbound
2020-09-01,94.36193174397994,pre_upperbound
2020-09-08,95.19839715757854,pre_upperbound
2020-09-15,94.23600053236233,pre_upperbound
2020-09-22,92.35135402852258,pre_upperbound
2020-09-29,94.2249624130905,pre_upperbound
2015-09-15,18.700000000000003,original
2015-09-22,27.590000000000003,original
2015-09-29,39.19,original
2015-10-06,35.81,original
2015-10-13,35.81,original
2015-10-20,53.24,original
2015-10-27,49.11,original
2015-11-03,56.3,original
2015-11-10,56.3,original
2015-11-17,63.2,original
2015-11-24,63.2,original
2015-12-01,61.58,original
2015-12-08,61.58,original
2015-12-15,61.54,original
2015-12-22,61.54,original
2015-12-29,61.54,original
2016-01-05,68.63,original
2016-01-12,68.66,original
2016-01-19,77.43,original
2016-01-26,77.43,original
2016-02-02,77.38,original
2016-02-09,77.38,original
2016-02-16,77.38,original
2016-02-23,77.0,original
2016-03-01,77.03999999999999,original
2016-03-08,75.85,original
2016-03-15,76.07,original
2016-03-22,75.8,original
2016-03-29,73.66,original
2016-04-05,47.26,original
2016-04-12,39.05,original
2016-04-19,39.23,original
2016-04-26,39.6,original
2016-05-03,28.47,original
2016-05-10,18.64,original
2016-05-17,16.53,original
2016-05-24,15.540000000000006,original
2016-05-31,19.28,original
2016-06-07,23.03,original
2016-06-14,27.430000000000007,original
2016-06-21,29.36,original
2016-06-28,31.260000000000005,original
2016-07-05,31.28,original
2016-07-12,33.349999999999994,original
2016-07-19,43.32,original
2016-07-26,55.44,original
2016-08-02,57.75,original
2016-08-09,55.51,original
2016-08-16,55.51,original
2016-08-23,57.33,original
2016-08-30,56.37,original
2016-09-06,56.45,original
2016-09-13,63.13,original
2016-09-20,63.41,original
2016-09-27,58.61,original
2016-10-04,47.25,original
2016-10-11,38.99,original
2016-10-18,37.05,original
2016-10-25,37.07,original
2016-11-01,44.08,original
2016-11-08,40.9,original
2016-11-15,43.99,original
2016-11-22,43.99,original
2016-11-29,43.99,original
2016-12-06,43.99,original
2016-12-13,43.96,original
2016-12-20,39.06,original
2016-12-27,39.02,original
2017-01-03,39.02,original
2017-01-10,24.620000000000005,original
2017-01-17,24.620000000000005,original
2017-01-24,23.450000000000003,original
2017-01-31,14.86,original
2017-02-07,14.86,original
2017-02-14,14.86,original
2017-02-21,14.86,original
2017-02-28,14.86,original
2017-03-07,14.86,original
2017-03-14,15.099999999999994,original
2017-03-21,15.099999999999994,original
2017-03-28,15.099999999999994,original
2017-04-04,15.099999999999994,original
2017-04-11,14.349999999999994,original
2017-04-18,18.64,original
2017-04-25,18.510000000000005,original
2017-05-02,8.790000000000006,original
2017-05-09,8.790000000000006,original
